# From Pescalli et al. 2016
# This is the extended BAT6 sample with 99 GRBs
# Note : GRBs with no redshift have negative values for Ep which correspond to Ep_obs
#%|name | redshift | alpha | alpha_pos_err | alpha_neg_err | beta | beta_pos_err | beta_neg_err | peak_flux(1e-7 erg/cm2/s) | peak_flux_err(1e-7 erg/cm2/s) | peak_ph_flux(ph/cm2/s) | peak_ph_flux_err(ph/cm2/s) | range(keV) | Ep(keV) | Ep_err | L(1e51 erg/s) | L_err(1e51 erg/s) | Ref |
|050318 	|1.44	|-1.34	|0.32	|0.32	|   	|   	|   	|2.20	|0.17	|   	|   	|[15−150]	|115	|27.	|4.76	|0.86	|1, 1	|
|050401 	|2.9	|-1.0	|   	|   	|−2.45	|   	|   	|24.5	|1.2 	|   	|   	|[20−2000]	|499	|117	|201	|11.	|1, 1	|
|050416 	|0.653	|-1.0	|   	|   	|−3.4	|   	|   	|   	|   	|5.0	|0.5	|[15−150]	|26.	|4.0	|0.97	|0.12	|1, 1	|
|050525 	|0.606	|-0.99	|0.11	|0.11	|   	|   	|   	|   	|   	|47.7	|1.2	|[15−350]	|127	|6.0	|7.24	|0.28	|1, 1	|
|050802 	|1.71	|-1.6	|0.1	|0.1	|   	|   	|   	|2.21	|0.35	|   	|   	|[15−150]	|301	|   	|9.51	|1.71	|1, 1	|
|050922C	|2.198	|-0.83	|0.24	|0.24	|   	|   	|   	|45.	|7  	|   	|   	|[20−2000]	|416	|118	|187	|30.	|1, 1	|
|060206 	|4.048	|-1.12	|0.30	|0.30	|   	|   	|   	|2.02	|0.13	|   	|   	|[15−150]	|409	|116	|49.6	|7.1	|1, 1	|
|060210 	|3.91	|-1.12	|0.26	|0.26	|   	|   	|   	|   	|   	|2.8	|0.3	|[15−150]	|574	|187	|52.8	|11.1	|1, 1	|
|060306 	|1.55	|-1.2	|0.5	|0.5	|   	|   	|   	|4.71	|0.28	|   	|   	|[15−150]	|178.5	|76.5	|11.49	|2.26	|1, 2	|
|060614 	|0.125	|-1.5	|   	|   	|   	|   	|   	|   	|   	|11.6	|0.7	|[15−150]	|55.	|45.	|0.05	|0.01	|1, 1	|
|060814 	|1.92	|-1.43	|0.16	|0.16	|   	|   	|   	|21.3	|3.5	|   	|   	|[20−1000]	|750	|245	|71.7	|13.1	|1, 1	|
|060904 	|   	|-1.22	|0.05	|0.05	|   	|   	|   	|13.	|3.0	|   	|   	|[20−10000]	|-235	|25.	|   	|   	|1, 1	|
|060908 	|1.88	|-0.93	|0.25	|0.25	|   	|   	|   	|2.81	|0.23	|   	|   	|[15−150]	|426	|207	|12.7	|3.1	|1, 1	|
|060912 	|0.94	|-1.85	|0.08	|0.08	|   	|   	|   	|25.	|9.0	|   	|   	|[20−10000]	|127	|   	|20.6	|7.4	|1, 1	|
|060927 	|5.47	|-0.81	|0.36	|0.36	|   	|   	|   	|2.47	|0.17	|   	|   	|[15−150]	|459	|90.	|108.7	|13.1	|1, 1	|
|061007 	|1.261	|-0.75	|0.02	|0.02	|−2.79	|0.09	|0.09	|120	|10 	|   	|   	|[20−10000]	|965	|27.	|109.2	|8.9	|1, 1	|
|061021 	|0.346	|-1.22	|0.13	|0.13	|   	|   	|   	|37.2	|9.3	|   	|   	|[20−2000]	|1046	|485	|1.77	|0.46	|1, 1	|
|061121 	|1.314	|-1.32	|0.05	|0.05	|   	|   	|   	|128	|17.	|   	|   	|[20−5000]	|1402	|185	|142	|19.	|1, 1	|
|061222 	|2.09	|-1.00	|0.05	|0.05	|−2.32	|0.38	|0.38	|48.	|13.	|   	|   	|[20−10000]	|1091	|167	|140	|38.	|1, 1	|
|070306 	|1.50	|-1.67	|0.1	|0.1	|   	|   	|   	|3.04	|0.16	|   	|   	|[15−150]	|>263	|   	|>9.99	|   	|1, 1	|
|070328 	|2.063	|-1.11	|0.04	|0.04	|−2.33	|0.24	|0.24	|59.	|12.	|   	|   	|[20−10000]	|2349	|   	|157.6	|37.6	|1, 3	|
|070521 	|2.087	|-0.93	|0.12	|0.12	|   	|   	|   	|41.2	|9.1	|   	|   	|[20−1000]	|685.6	|73.6	|144.1	|32.6	|1, 3	|
|071020 	|2.145	|-0.65	|0.29	|0.29	|   	|   	|   	|60.4	|20.8	|   	|   	|[20−2000]	|1013	|204	|213	|73.	|1, 1	|
|071112C	|0.82	|-1.09	|0.07	|0.07	|   	|   	|   	|   	|   	|8.0	|1.0	|[15−150]	|596	|   	|6.57	|0.86	|1, 1	|
|071117 	|1.331	|-1.53	|0.15	|0.15	|   	|   	|   	|66.6	|18.3	|   	|   	|[20−1000]	|648	|317	|95.4	|28.4	|1, 1	|
|080319B	|0.937	|-0.86	|0.01	|0.01	|−3.59	|0.45	|0.45	|226	|21 	|   	|   	|[20−7000]	|1307	|43.	|101.6	|9.4	|1, 1	|
|080319C	|1.95	|-1.20	|0.10	|0.10	|   	|   	|   	|33.5	|7.4	|   	|   	|[20−4000]	|1752	|504	|96.1	|21.7	|1, 1	|
|080413B	|1.10	|-1.23	|0.25	|0.25	|   	|   	|   	|14.0	|0.6	|   	|   	|[15−150]	|163	|34.	|14.9	|1.8	|1, 1	|
|080430 	|0.77	|-1.73	|0.08	|0.08	|   	|   	|   	|1.82	|0.13	|   	|   	|[15−150]	|149	|   	|1.16	|0.13	|1, 1	|
|080602 	|1.820	|-0.96	|0.63	|0.63	|   	|   	|   	|19.2	|5.8	|   	|   	|[20−1000]	|1216	|   	|51.	|17.	|1, 3	|
|080603B	|2.69	|-1.23	|0.64	|0.64	|   	|   	|   	|15.1	|3.9	|   	|   	|[20−1000]	|376	|214	|116.6	|38.9	|1, 1	|
|080605 	|1.64	|-1.03	|0.07	|0.07	|   	|   	|   	|160	|33.	|   	|   	|[20−2000]	|665	|48.	|308.7	|62.8	|1, 1	|
|080607 	|3.036	|-1.08	|0.06	|0.06	|   	|   	|   	|269	|54.	|   	|   	|[20−4000]	|1691	|169	|2260	|446	|1, 1	|
|080613B	|   	|-1.05	|0.18	|0.18	|   	|   	|   	|47.6	|13.1	|   	|   	|[20−3000]	|-33	|239	|   	|   	|1, 1	|
|080721 	|2.591	|-0.96	|0.07	|0.07	|−2.42	|0.29	|0.29	|211	|35.	|   	|   	|[20−7000]	|1785	|223	|1039	|173	|1, 1	|
|080804 	|2.20	|-0.72	|0.04	|0.04	|   	|   	|   	|7.30	|0.88	|   	|   	|[8−35000]	|810	|45.	|27.0	|3.2	|1, 1	|
|080916 	|0.689	|-0.99	|0.05	|0.05	|   	|   	|   	|4.87	|0.27	|   	|   	|[8−35000]	|208	|11.	|1.08	|0.06	|1, 1	|
|081007 	|0.53	|-1.4 	|0.4 	|0.4	|   	|   	|   	|   	|   	|2.2	|0.2	|[25−900]	|61.	|15.	|0.43	|0.09	|1, 1	|
|081121 	|2.512	|-0.46	|0.08	|0.08	|2.19	|0.07	|0.07	|51.7	|8.3	|   	|   	|[8−35000]	|608	|42.	|195.4	|33.7	|1, 1	|
|081203 	|2.10	|-1.29	|0.14	|0.14	|   	|   	|   	|   	|   	|2.9	|0.2	|[15−150]	|1541	|756	|28.3	|8.9	|1, 1	|
|081221 	|2.26	|-0.83	|0.01	|0.01	|   	|   	|   	|24.2	|0.5	|   	|   	|[8−35000]	|284	|2.0	|101	|2.0	|1, 3	|
|081222 	|2.77	|-0.90	|0.03	|0.03	|2.33	|0.10	|0.10	|17.6	|0.58	|   	|   	|[8−35000]	|630	|31.	|95.	|6.0	|1, 1	|
|090102 	|1.547	|-0.97	|0.01	|0.01	|   	|   	|   	|29.3	|0.91	|   	|   	|[8−35000]	|1174	|38.	|45.7	|1.4	|1, 1	|
|090201 	|2.1	|-0.97	|0.09	|0.09	|2.80	|0.52	|0.52	|73.0	|12.6	|   	|   	|[20−2000]	|489.8	|   	|269.5	|47.6	|1, 2	|
|090424 	|0.544	|-1.02	|0.01	|0.01	|3.26	|0.18	|0.18	|91.2	|1.4	|   	|   	|[8−35000]	|250.0	|3.4	|11.16	|0.18	|1, 1	|
|090709 	|1.8	|-0.85	|0.08	|0.08	|2.7 	|0.24	|0.24	|39.	|6.0	|   	|   	|[20−3000]	|834.4	|   	|91.9	|13.9	|1, 2	|
|090715B	|3.00	|-1.1	|0.37	|0.37	|   	|   	|   	|9.0 	|2.5	|   	|   	|[20−2000]	|536	|164	|82.6	|25.2	|1, 1	|
|090812 	|2.452	|-1.03	|0.07	|0.07	|   	|   	|   	|   	|   	|2.77	|0.28	|[100−1000]	|2023	|663	|96.3	|16.0	|1, 1	|
|090926B	|1.24	|-0.19	|0.06	|0.06	|   	|   	|   	|4.73	|0.28	|   	|   	|[8−35000]	|212.0	|4.3	|4.28	|0.25	|1, 1	|
|091018 	|0.971	|-1.53	|0.48	|0.48	|   	|   	|   	|4.32	|0.95	|   	|   	|[20−1000]	|55.	|26.	|4.75	|1.33	|1, 1	|
|091020 	|1.71	|-1.20	|0.06	|0.06	|2.29	|0.18	|0.18	|18.8	|2.6	|   	|   	|[8−35000]	|507	|68.	|32.7	|5.2	|1, 1	|
|091127 	|0.49	|-1.25	|0.05	|0.05	|2.22	|0.01	|0.01	|93.8	|2.3	|   	|   	|[8−35000]	|51.0	|1.5	|9.09	|0.24	|1, 1	|
|091208B	|1.063	|-1.29	|0.04	|0.04	|   	|   	|   	|25.6	|0.97	|   	|   	|[8−35000]	|246	|15.	|17.5	|0.7	|1, 1	|
