# Results from heasarc_batsegrbsp: CGRO/BATSE Complete Spectral Catalog of Bright GRBs
# Coordinate system:  Equatorial
#%|trigger_num|name      |ra     |dec   |time               |spectral_model|peak_energy|peak_energy_error|low_pl_index|low_pl_index_error|high_pl_index|high_pl_index_error|break_energy|break_energy_error|
|      06404|GRB 970930|18 45.8|-84 31|1997-09-30 00:00:59|SBPL          |        150|               14|       -1.50|              0.04|        -2.59|               0.14|         153|                13|
|      07515|GRB 990411|21 59.4|-83 26|1999-04-11 04:25:31|BAND          |        187|               12|       -0.32|              0.12|        -2.20|               0.08|         117|                 8|
|      03255|GRB 941023|14 09.1|-82 21|1994-10-23 04:34:32|COMP          |          5|                2|       -1.99|              0.00|             |                   |            |                  |
|      00761|GRB 910905|00 00.0|-81 03|1991-09-05 23:48:55|SBPL          |        285|               25|       -1.24|              0.02|        -2.43|               0.10|         250|                17|
|      07113|GRB 980923|05 07.8|-80 36|1998-09-23 20:10:47|SBPL          |        339|                7|       -0.93|              0.00|        -2.74|               0.03|         298|                 4|
|      05629|GRB 961009|08 40.8|-80 14|1996-10-09 13:37:45|BAND          |        232|                6|       -0.88|              0.03|        -3.00|               0.24|         233|                26|
|      07560|GRB 990510|13 50.0|-80 13|1999-05-10 08:49:06|BAND          |        136|                6|       -1.24|              0.05|        -2.41|               0.09|         117|                10|
|      06476|GRB 971113|14 26.3|-76 38|1997-11-13 16:08:50|SBPL          |           |                 |       -1.75|              0.12|        -1.41|               0.02|          72|                14|
|      07491|GRB 990323|22 10.3|-76 32|1999-03-23 17:29:37|BAND          |        442|                7|       -0.91|              0.01|        -2.36|               0.04|         306|                 9|
|      06593|GRB 980208|04 03.9|-75 29|1998-02-08 12:50:59|SBPL          |        218|               13|       -1.23|              0.02|        -2.30|               0.05|         176|                 8|
|      02486|GRB 930809|02 31.9|-74 38|1993-08-09 05:11:04|COMP          |        195|                7|       -1.28|              0.04|             |                   |            |                  |
|      01553|GRB 920414|07 30.0|-73 43|1992-04-14 23:22:41|SBPL          |           |                 |       -0.88|              0.03|        -1.74|               0.04|         225|                16|
|      03571|GRB 950513|18 06.4|-72 55|1995-05-13 22:41:43|COMP          |        307|               11|       -1.11|              0.03|             |                   |            |                  |
|      02770|GRB 940119|21 46.2|-71 38|1994-01-19 02:42:10|PWRL          |           |                 |       -1.45|              0.02|             |                   |            |                  |
|      02387|GRB 930612|06 52.3|-69 46|1993-06-12 00:44:17|SBPL          |        135|               21|        0.07|              0.28|        -2.48|               0.06|          69|                 9|
|      02895|GRB 940329|15 50.0|-68 53|1994-03-29 05:49:26|BAND          |        225|               10|       -0.75|              0.05|        -2.50|               0.12|         170|                13|
|      02522|GRB 930910|11 10.4|-66 41|1993-09-10 12:12:08|BAND          |        200|               11|        0.91|              0.23|        -2.00|               0.06|         112|                 6|
|      03767|GRB 950822|16 21.0|-66 24|1995-08-22 03:49:09|COMP          |        459|               13|       -1.00|              0.02|             |                   |            |                  |
|      03290|GRB 941121|02 21.8|-66 22|1994-11-21 17:24:57|SBPL          |        127|               18|       -1.77|              0.03|        -2.80|               0.18|         169|                21|
|      05470|GRB 960523|03 07.0|-63 19|1996-05-23 16:32:01|BAND          |        940|              159|       -0.65|              0.07|        -1.72|               0.11|         384|                75|
|      00226|GRB 910525|14 24.1|-62 49|1991-05-25 19:26:27|COMP          |        404|               63|       -1.05|              0.10|             |                   |            |                  |
|      03044|GRB 940624|18 49.8|-62 23|1994-06-24 14:33:14|PWRL          |           |                 |       -2.20|              0.14|             |                   |            |                  |
|      07868|GRB 991121|20 06.4|-61 34|1999-11-21 11:21:44|BAND          |        144|                5|       -0.50|              0.08|        -2.52|               0.09|         110|                 6|
|      03298|GRB 941126|17 39.0|-61 18|1994-11-26 12:22:01|SBPL          |        246|               45|       -1.33|              0.06|        -2.47|               0.36|         245|                45|
|      07527|GRB 990424|05 55.5|-60 20|1999-04-24 03:12:31|BAND          |        316|                8|       -0.44|              0.03|        -2.51|               0.09|         222|                10|
|      02798|GRB 940206|09 36.8|-59 58|1994-02-06 00:08:37|SBPL          |        379|               31|       -1.13|              0.02|        -2.25|               0.04|         245|                13|
|      05731|GRB 961228|00 16.6|-59 04|1996-12-28 23:58:38|SBPL          |        171|               58|       -1.69|              0.05|        -2.05|               0.10|         139|                34|
|      07446|GRB 990304|00 33.3|-58 15|1999-03-04 10:15:36|BAND          |        178|               17|       -1.46|              0.08|        -2.67|               0.42|         214|                74|
|      00543|GRB 910717|16 39.4|-58 13|1991-07-17 04:33:04|COMP          |        263|                8|       -0.97|              0.03|             |                   |            |                  |
|      07932|GRB 000103|11 11.6|-57 59|2000-01-03 23:35:08|BAND          |        135|                9|       -1.13|              0.12|        -2.51|               0.14|         120|                14|
|      01541|GRB 920406|19 19.6|-57 41|1992-04-06 02:44:13|SBPL          |        290|               27|       -1.25|              0.02|        -2.58|               0.09|         266|                20|
|      03860|GRB 951011|02 43.4|-57 35|1995-10-11 21:34:39|BAND          |        535|               24|       -0.57|              0.03|        -2.33|               0.11|         341|                26|
|      02953|GRB 940429|02 20.4|-57 31|1994-04-29 00:43:53|SBPL          |        174|                9|       -1.31|              0.02|        -2.30|               0.03|         143|                 6|
|      07678|GRB 990728|13 58.5|-56 50|1999-07-28 11:03:44|SBPL          |        285|               14|       -1.04|              0.02|        -2.33|               0.04|         222|                 9|
|      06630|GRB 980306|22 46.5|-56 44|1998-03-06 17:34:11|COMP          |        270|               13|       -1.45|              0.03|             |                   |            |                  |
|      01709|GRB 920718|19 45.6|-55 59|1992-07-18 21:32:43|BAND          |        192|                5|       -1.09|              0.03|        -3.06|               0.23|         221|                26|
|      03415|GRB 950211|04 17.4|-55 01|1995-02-11 20:07:48|SBPL          |        168|               27|       -1.51|              0.04|        -2.81|               0.19|         199|                28|
|      01525|GRB 920329|01 12.8|-54 46|1992-03-29 16:38:26|SBPL          |        536|              119|       -0.76|              0.06|        -2.44|               0.20|         375|                59|
|      06609|GRB 980219|16 44.0|-54 43|1998-02-19 13:52:43|BAND          |        204|               17|       -0.71|              0.09|        -1.90|               0.05|         107|                 9|
|      05304|GRB 960322|06 27.9|-54 37|1996-03-22 05:27:21|BAND          |        285|                4|       -0.63|              0.02|        -2.41|               0.03|         198|                 5|
|      03634|GRB 950608|03 50.2|-53 36|1995-06-08 22:34:32|BAND          |        229|               26|       -0.55|              0.17|        -2.25|               0.19|         146|                21|
|      06157|GRB 970404|04 54.6|-53 17|1997-04-04 17:30:11|SBPL          |        321|               25|       -1.18|              0.02|        -2.42|               0.08|         275|                17|
|      02067|GRB 921123|22 17.0|-53 15|1992-11-23 06:18:31|SBPL          |        246|               12|       -0.70|              0.02|        -3.75|               0.09|         291|                12|
|      03227|GRB 941008|20 22.5|-52 11|1994-10-08 13:32:52|SBPL          |        257|               20|       -1.33|              0.02|        -2.30|               0.06|         213|                13|
|      07975|GRB 000131|06 15.8|-52 02|2000-01-31 14:57:57|BAND          |        132|               11|       -0.69|              0.17|        -2.05|               0.05|          81|                 6|
