#Results from heasarc_batsegrb: CGRO/BATSE Gamma-Ray Burst Catalog
#Coordinate system:  Equatorial
#%|trigger_num|name       |flux_64 |flux_64_error|flux_256|flux_256_error|flux_1024|flux_1024_error|t90     |t90_error|
|      02052|4B 921112- |        |             |        |              |         |               |        |         |
|      07980|GRB 000203 |  2.4140|       0.2203|  1.8037|        0.1031|   0.5773|         0.0435|   0.240|    0.074|
|      06405|GRB 970930-|  0.9132|       0.1825|  0.6315|        0.0874|   0.5812|         0.0436|  30.144|    3.567|
|      03875|4B 951019  |  3.0230|       0.2260|  2.8020|        0.1120|   2.1610|         0.0530|   8.384|    1.473|
|      06497|GRB 971124 |  0.5406|       0.1742|  0.3749|        0.0866|   0.3114|         0.0426|   3.328|    0.730|
|      01579|4B 920502- |  3.4260|       0.3100|  3.2480|        0.1520|   2.6430|         0.0710|  73.472|    4.160|
|      06404|GRB 970930-| 24.0120|       0.5182| 22.9004|        0.2537|  17.2259|         0.1121|  36.992|    0.202|
|      05637|GRB 961019 |  1.7640|       0.2059|  1.6093|        0.1011|   1.4664|         0.0497|  13.184|    1.409|
|      07515|GRB 990411-|  3.2372|       0.2497|  2.8060|        0.1229|   2.7597|         0.0608| 328.448|   11.968|
|      02590|4B 931017  |        |             |        |              |         |               |        |         |
|      01608|4B 920517- |        |             |        |              |         |               |        |         |
|      01306|4B 920120  |  0.6790|       0.2370|  0.5420|        0.1170|   0.4350|         0.0580|   7.296|    2.834|
|      01590|4B 920509  |  0.6620|       0.1970|  0.5770|        0.0960|   0.4930|         0.0470|  69.504|    3.765|
|      03255|4B 941023- | 12.6670|       0.4210| 11.8660|        0.2060|   9.4460|         0.0940|  34.880|    0.653|
|      03590|4B 950522- |        |             |        |              |         |               |        |         |
|      01303|4B 920116- |  1.1300|       0.2570|  0.8290|        0.1230|   0.6040|         0.0570|  21.248|    2.064|
|      00761|4B 910905  |  3.5880|       0.3770|  3.2080|        0.1830|   2.8210|         0.0880|  81.472|    1.105|
|      05733|GRB 961230 |  2.0299|       0.2170|  0.9301|        0.0920|   0.2430|         0.0401|   0.675|    0.182|
|      07113|GRB 980923 | 54.0203|       0.8337| 49.2305|        0.4002|  36.0687|         0.1724|  33.024|    0.091|
|      02395|4B 930614- |  1.6620|       0.3120|  0.6760|        0.1380|   0.1810|         0.0630|   0.128|    0.091|
|      03322|4B 941217  |  0.9610|       0.1800|  0.7710|        0.0890|   0.6620|         0.0440|  26.720|    4.845|
|      07156|GRB 981015-|        |             |        |              |         |               |        |         |
|      05629|GRB 961009-|  8.1376|       0.3540|  7.2490|        0.1680|   6.4005|         0.0801|        |         |
|      07560|GRB 990510-| 11.2834|       0.3629| 10.1948|        0.1735|   8.1657|         0.0799|  68.032|    0.202|
|      03639|4B 950611- |  1.5350|       0.0520|  1.1260|        0.0240|   0.8500|         0.0480|        |         |
