# Results from heasarc_batse4b: CGRO/BATSE 4B Catalog
# Coordinate system:  Equatorial
#%|trigger_num|name      |ra     |dec   |lii   |bii   |day_trigger|time                 |seconds_trigger|error_radius|earth_angle|overwrite|overwritten|max_cts_64|threshold_64|flux_64 |flux_64_error|flux_64_time|max_cts_256|threshold_256|flux_256|flux_256_error|flux_256_time|max_cts_1024|threshold_1024|flux_1024|flux_1024_error|flux_1024_time|t50     |t50_error|t50_start|t90     |t90_error|t90_start|fluence_1 |fluence_1_error|fluence_2 |fluence_2_error|fluence_3 |fluence_3_error|fluence_4 |fluence_4_error|comments_quality                                                      |comments_otherobs                                                     |comments_general                                                      |comments_position                    |comments_duration                                                     |
|      03875|4B 951019 |10 46.0|-87 49|301.67|-25.25|      10009|1995-10-19 13:24:04.7|      48244.723|        1.80|      90.60|N        |N          |     2.312|          82|  3.0230|       0.2260|      0.1280|      4.285|          165|  2.8020|        0.1120|       0.3200|       5.039|           364|   2.1610|         0.0530|        0.9600|   1.728|    0.143|    0.320|   8.384|    1.473|    0.000|3.5286e-07|     1.2759e-08|2.8148e-07|     8.8741e-09|3.2130e-07|     1.9202e-08|1.2471e-07|     1.4129e-07|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
|      03441|4B 950225B|12 56.2|-85 02|303.04|-22.16|       9773|  1995-02-25 17:09:38|      61777.969|        8.94|     122.47|N        |N          |     1.603|          63|  2.0570|       0.2500|      0.0000|   -999.000|          126|  1.1620|        1.2920|       0.1280|       0.933|           216|   0.3780|         1.2900|        0.5120|   0.096|    0.036|   -0.054|   0.240|    0.115|   -0.086|4.2762e-09|     2.3249e-08|1.1336e-08|     2.4669e-08|5.8132e-08|     7.3873e-08|4.8857e-08|     7.1691e-07|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
|      01579|4B 920502C|08 12.6|-84 31|297.25|-25.11|       8744|1992-05-02 19:05:03.9|      68703.852|        2.83|      77.75|N        |N          |     4.153|          66|  3.4260|       0.3100|      4.6080|      7.277|          132|  3.2480|        0.1520|       4.8000|      10.508|           264|   2.6430|         0.0710|        4.8640|  25.280|    0.962|    4.160|  73.472|    4.160|    2.496|2.2775e-07|     1.4515e-08|4.6581e-07|     1.6820e-08|3.1774e-06|     4.8660e-08|1.4528e-05|     7.4977e-07|DATA GAP ENDS AT T-100 S.                                             |ULYSSES RATE INCREASE                                                 |BACKGROUND SOURCE (VELA X-1) AT TRIGGERED DETECTOR 0.                 |                                     |                                                                      |
|      01608|4B 920517B|03 40.1|-84 29|298.62|-31.14|       8759|1992-05-17 00:34:37.6|       2077.610|        7.67|      71.16|N        |N          |          |            |        |             |            |           |             |        |              |             |            |              |         |               |              |        |         |         |        |         |         |          |               |          |               |          |               |          |               |LIMITED DATATYPES AVAILABLE.                                          |                                                                      |                                                                      |LOCATION DERIVED USING ONLY MAX RATES|VISUAL DURATION ESTIMATE OF &gt; 0.7 S.                                  |
|      02590|4B 931017 |12 05.8|-83 07|301.48|-20.37|       9277|1993-10-17 01:17:49.3|       4669.340|        0.65|     106.57|N        |N          |          |            |        |             |            |           |             |        |              |             |            |              |         |               |              |        |         |         |        |         |         |          |               |          |               |          |               |          |               |DATA GAP DURING BURST ACCUMULATION INTERVAL.                          |ULYSSES                                                               |                                                                      |                                     |VISUAL DURATION ESTIMATE OF &gt; 2 S, USING PREB AND TTS DATA.           |
|      02401|4B 930619 |16 13.1|-82 46|308.95|-22.39|       9157|1993-06-19 19:10:57.1|      69057.148|       10.53|      72.76|N        |N          |  -999.000|          66|  0.7040|       0.2330|     -0.8320|   -999.000|          132|  0.6710|        0.1150|      -0.6400|       1.285|           242|   0.4900|         0.0550|       -0.0640|   1.472|    0.264|   -0.704|   3.200|    0.516|   -0.896|5.0419e-08|     1.4847e-08|4.6893e-08|     1.6209e-08|1.7277e-07|     4.5256e-08|6.6052e-07|     7.9981e-07|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
|      01306|4B 920120 |20 01.2|-82 45|310.85|-29.08|       8641|  1992-01-20 22:30:40|      81039.977|        3.88|     122.92|N        |N          |  -999.000|          71|  0.6790|       0.2370|     -0.6400|   -999.000|          143|  0.5420|        0.1170|      -0.6400|       1.374|           286|   0.4350|         0.0580|       -0.0640|   3.072|    0.181|   -0.512|   7.296|    2.834|   -1.856|1.4293e-07|     1.2813e-08|1.2444e-07|     1.3041e-08|1.8113e-07|     2.3347e-08|3.2798e-07|     2.1564e-07|                                                                      |                                                                      |BACKGROUND SOURCE (VELA X-1)                                          |                                     |                                                                      |
|      01590|4B 920509 |22 44.9|-82 26|307.68|-33.49|       8751|1992-05-09 11:19:14.8|      40754.789|        3.70|      86.71|N        |N          |  -999.000|        -999|  0.6620|       0.1970|     14.4000|   -999.000|         -999|  0.5770|        0.0960|      14.4640|       1.269|           242|   0.4930|         0.0470|       15.2320|  30.592|    0.889|    1.536|  69.504|    3.765|  -13.312|1.0578e-06|     2.4715e-08|8.2632e-07|     2.2245e-08|1.2134e-06|     5.3795e-08|0.0000e+00|     3.5502e-07|DATA GAP ENDS AT T-150 S.                                             |                                                                      |                                                                      |                                     |                                                                      |
|      03255|4B 941023 |14 09.1|-82 21|305.63|-19.89|       9648|1994-10-23 04:34:32.2|      16472.242|        0.42|      83.09|N        |N          |     6.417|          60| 12.6670|       0.4210|     28.8000|     11.600|          121| 11.8660|        0.2060|      28.9280|      13.207|           220|   9.4460|         0.0940|       29.5040|  20.160|    0.091|    9.088|  34.880|    0.653|    0.704|3.9413e-06|     3.2081e-08|3.4138e-06|     2.7971e-08|6.1144e-06|     6.7950e-08|3.3134e-06|     5.4861e-07|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
|      03590|4B 950522B|06 05.5|-81 41|293.65|-28.48|       9859|1995-05-22 06:38:16.9|      23896.881|        0.96|      78.26|N        |N          |          |            |        |             |            |           |             |        |              |             |            |              |         |               |              |        |         |         |        |         |         |          |               |          |               |          |               |          |               |                                                                      |                                                                      |                                                                      |                                     |VISUAL DURATION ESTIMATE OF &gt; 12 S, BASED ON DISCLB AND DISCLA; GAP DA|
|      01303|4B 920116 |10 11.2|-81 19|296.98|-20.36|       8637|1992-01-16 18:30:34.9|      66634.859|        1.94|      73.73|N        |N          |     1.556|          66|  1.1300|       0.2570|      3.2000|      2.401|          132|  0.8290|        0.1230|       3.2000|       2.992|           242|   0.6040|         0.0570|        5.6960|   7.936|    0.181|    3.008|  21.248|    2.064|   -4.096|2.1192e-07|     1.4443e-08|2.4633e-07|     1.6650e-08|1.1846e-06|     3.4984e-08|1.2733e-05|     7.8218e-07|                                                                      |PVO RATE INCREASE, GRANAT-WATCH                                       |                                                                      |                                     |                                                                      |
