#Title: An Off-line Scan of the BATSE Daily Records and a Large Uniform Sample 
#       of Gamma-Ray Bursts
#Authors: Stern B.E.,  Tikhomirova Y., Kompaneets D., Svensson R., Poutanen J.  
#Table: GRB characteristics
#================================================================================
#Byte-by-byte Description of file: datafile2.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units            Label     Explanations
#--------------------------------------------------------------------------------
#   1-  5 I5     d                TJD       Event identifier
#       6 A1     ---              Char      Character of the event identifier   
#   8- 12 I5     s                Start     Start of the event within the day (1)     
#  14- 17 I4     ---              Trigger   BATSE trigger number, or 1 for 
#                                            non-triggered events
#  19- 24 F6.3   "photons/cm2/s"  Flux      Peak flux in the 50 - 300 keV range 
#  26- 30 F5.1   deg              RAdeg     Right Ascension (J2000) 
#  32- 36 F5.1   deg              DEdeg     Declination (J2000)
#  38- 41 F4.1   deg              Error     Size of the 1 sigma confidence area
#  43- 45 I3     s                T90       Duration rounded to integer seconds (2)
#  47- 49 I3     ---              N50       Number of 1.024 s bins  where the signal 
#                                            exceeds 50% of the peak value (2)
#      51 I1     ---              K98       Identification with the K98 catalog (3)
#      53 I1     ---              Gap       Flag characterizing the data quality (4)
#--------------------------------------------------------------------------------
#Note (1): The start time is defined as the beginning of the first 1.024 s bin
#          within the burst window where the fitted background was exceeded by 4
#          sigma in the  50-300 keV range.  If there was no 4 sigma excess in
#          1.024 s bins, the procedure is repeated with 2.048 s, 4.096 s, 8.192 s
#          bins.  If the burst consists of a few widely spaced episodes, the GRB
#          window covers the highest peak and does not necessarily coincide with
#          the actual beginning.
#Note (2): The value of T90 for weak short events is strongly affected by the
#          Poisson noise and should be used with care.  Poisson fluctuations
#          cause an overestimation of T90 for such events.  If N50 is 1, the peak
#          flux is  below 0.5 photons/cm2/s and T90 is within 4 s, then this is
#          probably a one-bin event with T90<1 s.  Therefore we do not recommend
#          to use this duration distribution for a statistical analysis for
#          bursts of durations less than a few seconds.
#Note (3): Flag equal to 1 means that the event exist in the K98 catalog.  The
#          agreement in the GRB location sometimes is very poor (difference up to
#          45 deg).  We consider bursts to coincide if they overlap in time.  If
#          they  differ in time by 100-300 s but have close locations, we
#          considered them identical anyway.
#Note (4):
#    0 = normal data;
#    1 = estimate of duration is problematic because of a data gap;
#    2 = estimate of the peak flux is problematic because of a data gap;
#    3 = 1 and 2 simultaneously.
#--------------------------------------------------------------------------------
08369d	71474	  107	  0.373	 220.0	  10.5	  6.1	 207	  37	 0	 0
08370b	 6141	    1	  0.248	  68.4	  -6.4	  8.6	  83	  21	 0	 0
08370f	71005	  108	  0.178	 209.8	 -45.6	 34.1	   4	   2	 0	 0
08371a	 2208	  109	  3.725	  89.0	 -16.0	  0.2	  95	  27	 0	 1
08371c	20208	  110	  0.454	 341.8	  25.0	  7.9	 549	   6	 0	 0
08372a	 5386	    1	  0.336	 246.2	  65.4	  7.6	   8	   5	 0	 0
08372d	80024	  111	  0.502	  78.1	 -22.5	  3.8	  84	  25	 0	 0
08373a	14897	    1	  0.257	  32.4	 -46.1	 21.4	  85	   5	 0	 0
08373c	32689	  114	  0.540	  76.5	 -19.2	 11.1	 370	   5	 0	 0
08375b	11481	  121	  1.324	 173.2	   9.1	  1.9	  87	  13	 0	 0
08375c	21537	    1	  0.259	 315.3	 -48.9	 17.2	  50	  13	 0	 0
08376d	61501	  130	  3.561	 133.6	   1.9	  1.4	 203	  15	 0	 0
08377a	30013	  133	  0.621	 124.3	  -1.9	  6.1	 174	  22	 0	 0
08378b	40667	  138	  0.316	 126.0	 -21.4	 17.1	   3	   1	 0	 0
08379b	25453	  143	 37.809	  88.9	  35.8	  0.0	  56	   3	 0	 0
08379c	26090	    1	  0.291	 214.7	 -19.6	  8.2	 101	  13	 0	 0
08380d	81958	    1	  0.235	 243.5	 -36.0	 38.5	   6	   2	 0	 0
08381d	72915	  148	  1.410	 180.3	  45.4	  3.2	 470	   6	 0	 0
08383b	26132	    1	  0.608	  48.2	  14.8	  6.1	  20	   4	 0	 0
08383e	52275	  160	  2.320	 297.0	 -44.2	  2.2	  15	   5	 0	 0
08384b	68604	    1	  0.307	 116.5	  62.0	  9.9	  38	   8	 0	 0
08385a	11007	  171	  0.652	 340.0	  36.6	  3.1	  29	   7	 0	 0
08386b	65391	    1	  0.119	 355.6	   3.9	 41.2	  11	   5	 0	 0
08386c	70584	    1	  0.494	 331.3	 -27.9	  7.1	  14	   5	 0	 0
08387a	 7907	  179	  2.980	 261.1	  57.7	  3.0	   8	   1	 0	 0
08392a	46655	    1	  0.540	 192.7	 -15.1	  7.1	  38	   8	 0	 0
08393c	38926	  204	  0.565	 107.9	  46.2	 10.1	  61	   5	 0	 0
08393g	86135	  206	  0.513	 358.1	  22.1	 12.7	   2	   1	 0	 0
