# ra,dec
00:11:36.0,-79:00:36
16:16:09.6,-77:51:36
01:22:53.5,-77:47:02
02:01:45.6,-77:18:00
04:26:01.5,-77:15:53
21:58:43.2,-76:58:48
09:17:57.6,-76:38:24
11:15:43.2,-76:24:00
10:41:43.2,-74:16:48
08:24:04.8,-74:12:36
19:19:28.8,-74:12:36
12:30:00.0,-74:00:00
16:26:09.6,-73:56:24
19:44:21.6,-73:45:36
05:33:55.2,-73:37:12
13:03:36.0,-73:24:00
19:12:45.6,-62:12:36
07:38:00.0,-62:06:36
10:06:07.2,-62:04:48
10:31:07.2,-62:03:00
21:00:14.4,-61:53:24
13:51:02.4,-61:46:12
00:30:12.0,-61:43:48
23:51:45.6,-61:36:36
22:03:11.8,-65:32:18
21:11:52.8,-65:23:09
16:37:00.0,-65:13:00
16:35:45.6,-65:01:12
04:38:55.2,-65:01:12
14:01:12.0,-64:59:24
21:11:52.8,-64:56:24
06:25:40.8,-64:46:12
08:37:54.7,-66:31:12
04:01:21.6,-66:22:12
23:33:36.2,-66:19:26
23:08:04.8,-66:10:48
20:14:07.2,-66:09:36
03:13:12.0,-65:54:00
00:09:02.8,-65:46:49
20:08:48.0,-65:40:48
07:26:08.9,-65:37:52
03:06:48.0,-67:34:48
09:28:00.0,-67:24:00
21:58:00.0,-67:24:00
11:03:38.4,-67:22:12
20:19:28.8,-67:08:24
03:16:19.2,-67:07:12
17:14:19.2,-66:58:48
23:19:27.1,-66:49:59
05:56:21.6,-69:57:36
16:25:36.0,-69:55:48
06:27:36.0,-69:48:00
20:38:40.8,-69:40:12
14:32:21.6,-69:30:36
18:47:31.2,-69:29:24
16:41:12.0,-69:27:00
14:19:42.2,-69:21:40
11:47:13.9,-71:41:17
08:08:48.0,-71:37:12
13:02:09.4,-71:15:32
06:18:45.6,-71:00:00
22:55:48.0,-70:58:48
06:59:45.6,-70:30:36
09:47:45.6,-70:29:24
22:57:52.8,-70:28:12
09:49:12.0,-70:00:00
08:07:09.6,-53:51:36
05:18:40.8,-53:49:12
16:04:12.0,-53:47:24
12:29:14.4,-53:39:36
10:24:04.8,-53:33:36
18:37:33.6,-53:22:48
21:54:48.0,-53:12:00
18:12:16.8,-52:46:48
16:03:00.0,-55:12:36
06:20:24.0,-55:12:00
22:02:24.0,-55:00:00
04:12:48.0,-54:54:00
01:45:28.8,-54:50:24
13:32:00.0,-54:48:00
10:44:07.4,-54:46:07
19:57:04.8,-54:42:36
20:50:45.6,-55:51:00
18:27:06.0,-55:38:07
14:16:55.2,-55:30:00
05:15:55.2,-55:26:24
05:16:36.0,-55:21:36
20:43:19.2,-55:19:48
19:16:33.6,-55:15:00
12:27:43.2,-55:14:24
21:42:16.8,-57:06:36
16:33:04.8,-57:03:36
22:25:12.0,-57:00:00
03:31:07.2,-57:00:00
22:13:36.0,-56:56:24
12:12:09.6,-56:49:12
11:10:12.0,-56:46:01
