# beta, cdf
2.00168e+00 3.57143e-03
2.01066e+00 7.14286e-03
2.01957e+00 1.07143e-02
2.02537e+00 1.42857e-02
2.02687e+00 1.78571e-02
2.03217e+00 2.14286e-02
2.03816e+00 2.50000e-02
2.03915e+00 2.85714e-02
2.03990e+00 3.21429e-02
2.04459e+00 3.57143e-02
2.04838e+00 3.92857e-02
2.05461e+00 4.28571e-02
2.05622e+00 4.64286e-02
2.06487e+00 5.00000e-02
2.06501e+00 5.35714e-02
2.06821e+00 5.71429e-02
2.08244e+00 6.07143e-02
2.08491e+00 6.42857e-02
2.08914e+00 6.78571e-02
2.09143e+00 7.14286e-02
2.11670e+00 7.50000e-02
2.12157e+00 7.85714e-02
2.12342e+00 8.21429e-02
2.12397e+00 8.57143e-02
2.12716e+00 8.92857e-02
2.12765e+00 9.28571e-02
2.12831e+00 9.64286e-02
2.13056e+00 1.00000e-01
2.13198e+00 1.03571e-01
2.13240e+00 1.07143e-01
2.13546e+00 1.10714e-01
2.13752e+00 1.14286e-01
2.14021e+00 1.17857e-01
2.14142e+00 1.21429e-01
2.14997e+00 1.25000e-01
2.16476e+00 1.28571e-01
2.16674e+00 1.32143e-01
2.17167e+00 1.35714e-01
2.17368e+00 1.39286e-01
2.17602e+00 1.42857e-01
2.17617e+00 1.46429e-01
2.17631e+00 1.50000e-01
2.17664e+00 1.53571e-01
2.18247e+00 1.57143e-01
2.18287e+00 1.60714e-01
2.18559e+00 1.64286e-01
2.18647e+00 1.67857e-01
2.19460e+00 1.71429e-01
2.19830e+00 1.75000e-01
2.19912e+00 1.78571e-01
2.20936e+00 1.82143e-01
2.21532e+00 1.85714e-01
2.21903e+00 1.89286e-01
2.21977e+00 1.92857e-01
2.22493e+00 1.96429e-01
2.22632e+00 2.00000e-01
2.22669e+00 2.03571e-01
2.22859e+00 2.07143e-01
2.22998e+00 2.10714e-01
2.23744e+00 2.14286e-01
2.24220e+00 2.17857e-01
2.24473e+00 2.21429e-01
2.24718e+00 2.25000e-01
2.25314e+00 2.28571e-01
2.25539e+00 2.32143e-01
2.25587e+00 2.35714e-01
2.25672e+00 2.39286e-01
2.26285e+00 2.42857e-01
2.26388e+00 2.46429e-01
2.26969e+00 2.50000e-01
2.27042e+00 2.53571e-01
2.27148e+00 2.57143e-01
2.27331e+00 2.60714e-01
2.27888e+00 2.64286e-01
2.27964e+00 2.67857e-01
2.28292e+00 2.71429e-01
2.28823e+00 2.75000e-01
2.29193e+00 2.78571e-01
2.29506e+00 2.82143e-01
2.29742e+00 2.85714e-01
2.30085e+00 2.89286e-01
2.30418e+00 2.92857e-01
2.30947e+00 2.96429e-01
2.31065e+00 3.00000e-01
2.31316e+00 3.03571e-01
2.32527e+00 3.07143e-01
2.33238e+00 3.10714e-01
2.33601e+00 3.14286e-01
2.34034e+00 3.17857e-01
