#Results from heasarc_rhessigrb: RHESSI Gamma-Ray Burst Catalog
#Coordinate system:  Equatorial
%|name       |t90     |t90_error|time_resolution|hardness_ratio|hardness_ratio_error|
|GRB 020214 |1.42e+01| 3.00e-01|        2.0e-01|      6.03e-01|            1.60e-02|
|GRB 020218 |3.40e+01| 6.00e-01|        5.0e-01|     -1.12e-01|            1.10e-02|
|GRB 020302 |4.88e+01| 3.20e+00|        8.0e-01|      1.65e-01|            5.30e-02|
|GRB 020306 |1.35e-01| 1.60e-02|        1.5e-02|      4.16e-01|            4.00e-02|
|GRB 020311 |1.08e+01| 6.00e-01|        3.0e-01|      6.55e-02|            3.88e-02|
|GRB 020313 |2.32e+01| 1.00e+00|        4.0e-01|     -5.17e-01|            5.00e-02|
|GRB 020315 |1.26e+01| 1.10e+00|        3.0e-01|      2.97e-02|            6.94e-02|
|GRB 020331 |3.90e+01| 5.30e+00|        5.0e-01|     -4.60e-02|            1.05e-01|
|GRB 020407 |2.10e+01| 9.00e-01|        6.0e-01|     -1.72e-02|            2.76e-02|
|GRB 020409 |1.46e+02| 1.40e+01|        1.0e+00|      8.84e-02|            7.37e-02|
|GRB 020413 |9.00e+00| 6.40e-01|        2.0e-01|     -2.89e-02|            5.57e-02|
|GRB 020417 |7.85e+01| 5.20e+00|        5.0e-01|     -1.62e-01|            5.80e-02|
|GRB 020418 |3.40e+00| 1.30e-01|        1.0e-01|      1.81e-01|            2.00e-02|
|GRB 020426 |1.20e-01| 3.20e-02|        3.0e-02|      7.40e-02|            7.13e-02|
|GRB 020430 |1.35e+01| 5.00e-01|        3.0e-01|     -2.73e-01|            3.20e-02|
|GRB 020509 |3.50e+00| 3.80e-01|        5.0e-02|      8.32e-02|            8.52e-02|
|GRB 020524 |1.48e+01| 8.00e-01|        2.0e-01|      7.46e-02|            4.26e-02|
|GRB 020525A|7.60e+00| 6.10e-01|        1.0e-01|      1.10e-01|            6.50e-02|
|GRB 020525B|1.80e-01| 2.90e-02|        2.0e-02|      2.78e-01|            9.60e-02|
|GRB 020527 |1.65e+00| 1.80e-01|        5.0e-02|      1.94e-01|            8.80e-02|
|GRB 020602 |1.75e+00| 1.90e-01|        7.0e-02|     -2.49e-01|            9.10e-02|
|GRB 020603 |1.44e+00| 6.00e-02|        3.0e-02|     -7.00e-04|            3.08e-02|
|GRB 020604 |7.20e+00| 4.10e-01|        3.0e-01|     -1.37e-02|            3.19e-02|
|GRB 020620 |3.45e+00| 2.20e-01|        5.0e-02|     -2.63e-01|            5.60e-02|
|GRB 020623 |6.60e+00| 4.60e-01|        1.0e-01|     -2.84e-01|            6.60e-02|
|GRB 020630 |3.30e+01| 2.60e+00|        3.0e-01|     -1.48e-01|            6.60e-02|
|GRB 020702 |3.69e+01| 2.40e+00|        3.0e-01|     -3.85e-01|            7.10e-02|
|GRB 020708 |2.70e+01| 4.00e+00|        1.0e+00|     -3.00e-01|            1.29e-01|
|GRB 020712 |1.80e+01| 2.00e+00|        2.0e-01|     -1.51e-01|            9.30e-02|
|GRB 020715A|2.40e-01| 4.00e-02|        3.0e-02|      1.92e-01|            8.80e-02|
|GRB 020715B|6.40e+00| 2.10e-01|        2.0e-01|      1.05e-01|            1.00e-02|
|GRB 020725 |5.00e+00| 3.10e-01|        1.0e-01|      2.37e-01|            5.10e-02|
|GRB 020801 |1.43e+01| 9.00e-01|        1.0e-01|     -8.54e-02|            5.30e-02|
|GRB 020819A|1.05e+00| 8.00e-02|        3.0e-02|      1.85e-01|            6.00e-02|
|GRB 020819B|9.20e+00| 7.50e-01|        4.0e-01|     -2.13e-01|            6.40e-02|
|GRB 020828 |6.60e-01| 4.50e-02|        3.0e-02|      3.41e-01|            4.80e-02|
|GRB 020910 |2.85e+01| 1.00e+00|        3.0e-01|      1.33e-01|            2.90e-02|
|GRB 020914 |1.08e+01| 9.00e-01|        2.0e-01|     -2.54e-01|            7.30e-02|
|GRB 020926 |2.24e+01| 1.50e+00|        8.0e-01|     -2.05e-01|            5.30e-02|
|GRB 021008A|1.45e+01| 1.00e-01|        1.0e-01|      1.34e-01|            3.00e-03|
|GRB 021008B|1.42e+01| 1.20e+00|        2.0e-01|      9.00e-04|            6.92e-02|
|GRB 021011 |5.10e+01| 3.20e+00|        5.0e-01|     -2.94e-01|            6.10e-02|
