#Table 3
#The SHOALS GRB Sample
# Downloaded from ApJ and modified for our needs
#GRB	S_BAT	z
050128	51  	<5.5
050315	32  	1.9500
050318	11  	1.4436
050319	13  	3.2425
050401	83  	2.8983
050525A	151  	0.606
050726	20  	<3.5
050730	24  	3.9693
050802	22  	1.7102
050803	22  	4.3
050814	20  	5.3
050820A	34  	2.6147
050822	25  	1.434
050904	52  	6.295
050922B	24  	 4.9
050922C	16  	2.1995
051001	18  	2.4296
051006	12  	1.059
060115	17  	3.5328
060202	22  	0.785
060204B	29  	2.3393
060210	76  	3.9122
060218	65  	0.0331
060306	22  	1.559
060502A	23  	1.5026
060510B	40  	4.9
060522	11  	5.11
060526	12  	3.2213
060607A	26  	3.0749
060707	16  	3.4240
060714	29  	2.7108
060719	15  	1.5320
060729	26  	0.5428
060814	148  	1.9229
060908	28  	1.8836
060912A	14  	0.937
060927	11  	5.467
061007	450  	1.2622
061021	30  	0.3463
061110A	11  	0.7578
061110B	14  	3.4344
061121	139  	1.3145
061202	35  	2.253
061222A	81  	2.088
070110	16  	2.3521
070129	30  	2.3384
070223	19  	1.6295
070306	55  	1.4959
070318	26  	0.840
070328	91  	2.0627
070419B	75  	1.9588
070508	201  	0.82
070521	81  	2.0865
070621	44  	<5.5
070721B	36  	3.6298
070808	13  	1.35
071020	23  	2.1462
071021	14  	2.4520
071025	73  	4.8
071112C	30  	0.8227
080205	20  	2.72
080207	61  	2.0858
080210	18  	2.6419
080310	23  	2.4274
080319A	44  	2.0265
080319B	850  	0.9382
080325	49  	1.78
080411	265  	1.0301
080413A	35  	2.4330
080413B	33  	1.1014
080430	12  	0.767
080603B	25  	2.6892
080605	134  	1.6403
080607	247  	3.0368
080710	14  	0.8454
080721	141  	2.5914
080804	38  	2.2045
080805	27  	1.5042
080810	46  	3.3604
080916A	42  	0.6887
080928	24  	1.6919
081008	43  	1.967
081029	21  	3.8479
081109A	40  	0.9787
081118	12  	2.58
081121	42  	2.512
081128	23  	<3.4
081210	19  	2.0631
081221	189  	2.26
081222	52  	2.77
090313	15  	3.375
090404	31  	3.0 
090417B	23  	0.345
090418A	47  	1.608
090424	218  	0.544
090516A	90  	4.109
090519	12  	3.85
090530	11  	1.266
090618	109  	0.5
090709A	253  	1.8 
090715B	57  	3.00
090812	57  	2.452
090814A	13  	0.696
090926B	71  	1.24
091018	14  	0.971
091029	24  	2.752
091109A	16  	3.076
091127	84  	0.490
091208B	32  	1.0633
100305A	15  	     
100615A	50  	1.398
100621A	210  	0.542
100728B	17  	2.106
100802A	36  	<3.1
100814A	90  	1.44
110205A	170  	2.22
110709B	94  	2.09
120119A	170  	1.728
120308A	12  	<3.7
