#Results from heasarc_swiftgrb: Swift Gamma Ray Bursts Catalog
#Coordinate system:  Equatorial
#%|name       |ra         |dec        |bat_peakfluxp|bat_peakfluxp_err|redshift|redshift_err|redshift_type|
|GRB 041217 |10 59 09.60|-17 56 38.4|     6.82e+00|         4.83e-01|        |            |             |
|GRB 041223 |06 40 47.33|-37 04 23.1|     7.58e+00|         2.88e-01|        |            |             |
|GRB 041224 |03 44 46.08|-06 39 57.6|     2.95e+00|         2.93e-01|        |            |             |
|GRB 050124 |12 51 30.70|+13 02 42.0|     5.68e+00|         3.62e-01|        |            |             |
|GRB 050128 |14 38 17.66|-34 45 54.7|     7.50e+00|         6.63e-01|        |            |             |
|GRB 050219A|11 05 38.98|-40 41 03.1|     3.55e+00|         3.36e-01|        |            |             |
|GRB 050219B|05 25 15.99|-57 45 28.7|     2.47e+01|         1.28e+00|        |            |             |
|GRB 050306 |18 49 14.48|-09 09 10.0|     3.52e+00|         4.65e-01|        |            |             |
|GRB 050326 |00 27 49.10|-71 22 16.3|     1.22e+01|         3.24e-01|        |            |             |
|GRB 050401 |16 31 28.81|+02 11 14.2|     1.09e+01|         8.81e-01|  2.8983|      0.0004|S            |
|GRB 050416A|12 33 54.60|+21 03 26.7|     4.77e+00|         3.99e-01|  0.6528|      0.0002|S            |
|GRB 050416B|08 55 23.28|+11 11 09.6|     6.09e+00|         5.63e-01|        |            |             |
|GRB 050418 |02 57 21.36|-18 32 31.2|     3.70e+00|         2.72e-01|        |            |             |
|GRB 050525A|18 32 32.60|+26 20 23.5|     4.10e+01|         4.19e-01|  0.6060|            |S            |
|GRB 050603 |02 39 56.89|-25 10 54.6|     1.53e+01|         8.49e-01|  2.8210|            |S            |
|GRB 050701 |15 09 01.68|-59 24 52.5|     2.75e+00|         1.63e-01|        |            |             |
|GRB 050713A|21 22 09.53|+77 04 29.5|     4.59e+00|         3.00e-01|  3.6000|            |PL           |
|GRB 050717 |14 17 24.48|-50 32 00.7|     6.26e+00|         2.82e-01|        |            |             |
|GRB 050724 |16 24 44.38|-27 32 27.5|     3.39e+00|         2.80e-01|  0.2580|      0.0020|S            |
|GRB 050802 |14 37 05.69|+27 47 12.2|     2.68e+00|         4.29e-01|  1.7102|            |S            |
|GRB 050820B|09 02 25.03|-72 38 44.0|     3.92e+00|         1.64e-01|        |            |             |
|GRB 050922C|21 09 33.30|-08 45 27.5|     7.04e+00|         2.75e-01|  2.1995|      0.0010|S            |
|GRB 051109A|22 01 15.31|+40 49 23.3|     3.89e+00|         6.58e-01|  2.3460|            |S            |
|GRB 051221A|21 54 48.64|+16 53 27.4|     1.21e+01|         3.03e-01|  0.5465|            |S            |
|GRB 060105 |19 50 00.68|+46 20 56.0|     7.28e+00|         3.39e-01|  4.0000|      1.3000|G            |
|GRB 060117 |21 51 36.13|-59 58 39.1|     4.88e+01|         9.34e-01|  0.4500|      0.2000|G            |
|GRB 060206 |13 31 43.42|+35 03 03.6|     2.78e+00|         1.40e-01|  4.0480|      0.0002|S            |
|GRB 060210 |03 50 57.37|+27 01 34.4|     2.72e+00|         2.69e-01|  3.9133|            |S            |
|GRB 060223B|16 56 58.08|-30 48 46.8|     2.90e+00|         1.93e-01|        |            |             |
|GRB 060306 |02 44 22.88|-02 08 54.7|     5.92e+00|         3.00e-01|        |            |             |
|GRB 060313 |04 26 28.40|-10 50 40.1|     1.08e+01|         3.66e-01|  1.7000|            |P            |
|GRB 060418 |15 45 42.60|-03 38 20.0|     6.58e+00|         2.98e-01|  1.4901|      0.0010|S            |
|GRB 060421 |22 54 33.03|+62 43 51.6|     2.90e+00|         1.66e-01|        |            |             |
|GRB 060510A|06 23 27.98|-01 09 46.2|     1.48e+01|         1.02e+00|        |            |             |
|GRB 060614 |21 23 32.08|-53 01 36.2|     1.15e+01|         6.38e-01|  0.1257|            |S            |
