#%GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
161108A	105.1	11	1	0.6	0.1	1.159 (NOT: absorption & emission)
161017A	216.3	53	2	2.8	0.2	2.0127 (GTC: absorption)|2.01 (TNG: absorption)
161014A	18.3	19	2	2.9	0.6	2.823 (GTC: absorption)|2.823 (VLT: absorption)
160804A	144.2	114	3	2.9	0.3	0.736 (VLT: absorption & emission)
160703A	44.4	90	2	5.8	0.3	The detection in all UVOT filters is consistent with a redshift of z < ~1.5
160425A	304.58	21	2	2.8	0.2	0.555 (VLT: emission)
160410A	8.2	7.8	0.8	3.5	0.3	1.717 (VLT: absorption)|1.72 (Keck-I: absorption)
160327A	28	14	1	1.8	0.2	4.99 (GTC: absorption, probably redshift)
160314A	8.73	2.8	0.4	0.9	0.2	0.726 (VLT: emission from host)
160303A	5.0	1.5	0.3	1.0	0.1	<2.3 (VLT, redshift limit)
160227A	316.5	31	2	0.6	0.1	2.38 (NOT: absorption)
160203A	20.2	12	1	1.3	0.4	3.52 (VLT: absorption)
160131A	325	204	5	6.4	0.3	0.97 (TNG: absorption)|0.972 (GTC: absorption)|0.97 (Xinglong: absorption)
160121A	12.0	6.1	0.5	1.2	0.2	1.960 (GTC: absorption)
160117B	n/a	n/a	n/a	n/a	n/a	0.870 (VLT: absorption)| 0.86 (TNG: absorption and emission)
151215A	17.8	3.1	0.7	1.6	0.2	2.59 (NOT: absorption)
151112A	19.32	9.4	1.2	1.9	0.2	4.1 (MPG: photometric)
151111A	76.93	17	1	1.0	0.1	3.5 (MPG: photometric)
151031A	5.00	3.2	0.3	1.7	0.2	1.167 (VLT: absorption)
151029A	8.95	3.9	0.6	1.8	0.3	1.423 (VLT: absorption)
151027B	80.00	15	3	n/a	n/a	4.063 (VLT: absorption)
151027A	129.69	78	2	6.8	0.6	0.81 (Keck: absorption)|0.81 (GMG: absorption)
151021A	110.2	280	10	9.7	0.8	2.330 (VLT: absorption)
150915A	164.7	8.0	1.8	0.5	0.2	1.968 (VLT: absorption)
150910A	112.2	48	4	1.1	0.4	1.359 (Lick: absorption)|1.360 (GTC: absorption)
150821A	172.1	7.9	1.9	n/a	n/a	0.755 (VLT: absorption)
150818A	123.3	41	2	2.4	0.3	0.282 (GTC: emission from possible host)
150727A	88	37	2	1.0	0.2	0.313 (VLT: emission)
150424A	91	15	1	12.0	0.4	<3 (GTC)
150423A	0.22	0.63	0.10	0.9	0.1	1.394 (VLT: absorption, tentative)
150413A	263.6	43	4	1.6	0.3	3.2 (CAHA: absorption)|3.139 (Asiago: absorption)
150403A	40.90	170	3	17.6	-.6	2.06 (VLT: absorption)
150323A	149.6	61	2	5.4	0.3	0.593 (Keck I: absorption and emission)
150314A	14.79	220	3	38.5	0.9	1.758 (GTC: absorption)
150301B	12.44	18	1	3.0	0.2	1.5169 (VLT: absorption)
150206A	83.2	139	3	10.1	0.4	2.087 (VLT: absorption)
150120A	1.20	1.4	0.2	1.8	0.2	0.460 (Gemini-North: emission, possible host)
150101B	0.018	0.23	0.06	n/a	n/a	0.093 (GTC: emission from host)
141225A	40.24	25	2	1.3	0.4	0.915 (GTC: absorption)
141221A	36.9	21	1	3.1	0.2	1.452 (Keck II: absorption, tentative)
141220A	7.21	26	1	8.9	0.7	1.3195 (GTC: absorption)
141212A	0.30	0.72	0.12	1.2	0.2	0.596 (Gemini-North: emission from likely host)
141121A	549.9	53	4	0.9	0.3	1.47 (Keck I: absorption)
141109A	200	68	3	2.5	0.2	2.993 (VLT: absorption)
141026A	146	13	1	0.4	0.2	3.35 (GTC: absorption, possible redshift)
141004A	3.92	6.7	0.3	6.1	0.3	0.57 (NOT: emission)|0.573 (GTC: emission)
140907A	79.2	43	2	2.5	0.2	1.21 (GTC)
140903A	0.30	1.4	0.1	2.5	0.2	0.351 (Gemini-North: absorption, tentative host redshift)
140710A	3.52	2.3	0.3	1.9	0.3	0.558 (Gemini-North: emission, host)
140703A	67.1	39	3	2.8	0.6	3.14 (GTC: absorption)
140629A	42.0	24	2	4.2	0.4	2.275 (BTA: absorption)|2.29 (TNG: absorption)
140622A	0.13	0.27	0.05	0.6	0.2	0.959 (VLT: emission from host)
140614A	720	13	4	n/a	n/a	4.233 (VLT: absorption)
140518A	60.5	10	1	1.0	0.1	4.707 (Gemini-North: absorption)
140515A	23.4	5.9	0.6	0.9	0.1	6.32 (Gemini-North: absorption)
140512A	154.8	140	3	6.8	0.3	0.725 (NOT: absorption)
140506A	111.1	28	3	10.9	0.9	0.889 (VLT: absorption, host)
140430A	173.6	11	2	2.5	0.2	1.60 (VLT: absorption)
140428A	17.42	3.4	0.6	0.6	0.2	4.7 (Keck I: estimate)
140423A	134	94	3	2.1	0.2	3.26 (Gemini-North: absorption)
140419A	94.7	160	0	4.9	0.2	3.956 (Gemini-North: absorption)
140318A	8.43	2.9	0.5	0.5	0.2	1.02 (WHT: emission)
140311A	71.4	23	3	1.3	0.5	4.95 (Gemini-South: absorption)|~ 5 (NOT: absorption)|4.954 (Gemini-North)
140304A	15.6	12	1	1.7	0.2	5.283 (GTC: absorption)| 5.28 (NOT: absorption)
140301A	31.0	4.4	0.8	0.7	0.2	1.416 (VLT: absorption)
140213A	60.0	120	0	23.5	0.8	1.2076 (VLT: absorption)
140206A	93.6	160	3	19.4	0.5	2.73 (NOT: absorption)|2.74 (TNG: absorption)
140114A	139.7	32	1	0.9	0.1	3.0 (arXiv:1503.05323v1)
131227A	18.0	8.4	0.6	1.1	0.2	5.3 (Gemini-North)
131117A	11.00	2.5	0.4	0.7	0.1	4.18 (MPG: photometric)|4.042 (VLT: absorption)
131105A	112.3	71	5	3.5	0.6	1.686 (VLT: emission & absorption)
131103A	17.3	8.2	1.0	1.5	0.3	0.599 (VLT: emission & absorption)
131030A	41.1	290	0	28.1	0.7	1.293 (NOT: absorption)|1.295 (GTC: absorption)
131004A	1.54	2.8	0.2	3.4	0.2	0.717 (Magellan: emission)|0.71 (TNG: emission)
130925A	n/a	410	10	7.3	0.6	0.347 (VLT/UVES: emission)|0.35 (VLT/X-shooter: emission)
130907A	>360	1400	10	25.6	0.5	1.238 (NOT: absorption)
130831A	32.5	65	0.2	13.6	0.6	0.4791 (Gemini-North: absorption)
130701A	4.38	44	1	17.1	0.7	1.155 (VLT: absorption)
130612A	4.0	2.3	0.5	1.7	0.3	2.006 (VLT: absorption)
130610A	46.4	25	1	1.7	0.2	2.092 (VLT: absorption)
130606A	276.58	29	2	2.6	0.2	5.91 (GTC: absorption)|5.913 (MMT: absorption)|5.913 (VLT: absorption)
130604A	37.7	14	1	0.8	0.2	1.06 (Gemini-North: emission)
130603B	0.18	6.3	0.3	6.4	0.3	0.356 (GTC: absorption & emission)|0.356 (Magellan: emission, host)|0.356 (Gemini-South: emission)|0.3564 (VLT: absorption & emission)
130518A	n/a	n/a	n/a	n/a	n/a	2.49 (GTC: absorption)|2.488 (Gemini-North: absorption)
130514A	204	91	2	2.8	0.3	3.6 (MPG/ESO: photometric)
130511A	5.43	2.2	0.4	1.3	0.2	1.3033 (Gemini-North: absorption)
130505A	88	210	10	30.0	3.1	2.27 (Gemini-North: absorption)
130427B	27.0	15	1	3.0	0.4	2.78 (VLT: tentative)
130427A	162.83	3100	30	331.0	4.6	0.34 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA)
130420A	123.5	71	3	3.4	0.2	1.297 (GTC: absorption)
130418A	>300	18	2	0.6	0.2	1.218 (GTC)|1.217 (VLT: absorption)
130408A	28	23	4	4.9	1.0	3.758 (VLT: absorption)|3.757 (Gemini-South)
130215A	65.7	54	5	2.5	0.7	0.597 (Lick Shane: absorption)|0.58 (GTC: derived)
130131B	4.30	3.4	0.4	1.0	0.2	2.539 (Keck I: emission, host)
121229A	n/a	4.6	1.3	0.1	0.0	2.707 (VLT: absorption)
121211A	182	13	2.67	1.0	0.3	1.023 (Keck I)
121201A	85	7.8	1.0	0.8	0.1	3.385 (VLT: emission  & absorption)
121128A	23.3	69	4	12.9	0.4	2.20 (Gemini North: absorption)
121027A	62.6	20	1	1.3	0.2	1.773 (arXiv:1302.2352v1)|1.77 (Gemini-South: absorption)|1.773 (VLT: emission and absorption)
121024A	69	11	1	1.3	0.2	2.298 (VLT: absorption)
120922A	173	62	7	2.0	0.2	3.1 (MPG/ESO :photometric)
120909A	n/a	68	2	1.8	0.3	3.93 (VLT: absorption)
120907A	16.9	6.7	1.1	2.9	0.4	0.970 (OSIRIS/GTC: absorption)
120815A	9.7	4.9	0.7	2.2	0.3	2.358 (VLT/X-shooter: absorption)
120811C	26.8	30	3	4.1	0.2	2.671 (GTC: absorption)|2.67 {NOT: absorption)
120805A	48.00	8.2	1.4	0.37	0.2	3.1 (arXiv:1503.05323v1)
120802A	50	19	3	3.0	0.2	3.796 (Gemini-North: absorption)
120729A	71.5	24	1	2.9	0.2	0.80 (Gemini-North: absorption)
