#GRB	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]
170405A	n/a	n/a
170331A	1.2	0.4
170330A	4.5	0.3
170318B	0.1	0.1
170318A	1.2	0.3
170317A	3.5	0.3
170311A	0.8	0.2
170307A	1.4	0.3
170306A	1.3	0.4
170208B	8.4	0.2
170208A	5.4	0.6
170206B	0.4	0.2
170205A	4.3	0.3
170203A	0.8	0.2
170202A	4.7	0.3
170127A	0.3	0.2
170126A	7.3	1.1
170115A	0.2	0.1
170113A	1.1	0.1
170111A	0.9	0.2
170101A	54.4	2.0
161224A	0.8	0.3
161220A	0.5	0.1
161219B	5.3	0.4
161218A	17.6	0.5
161217A	0.4	0.1
161214B	2.2	0.2
161129A	3.4	0.2
161117B	6.0	0.3
161117A	6.8	0.3
161113A	1.4	0.2
161108A	0.6	0.1
161105A	1.4	0.2
161022A	1.6	0.4
161017A	2.8	0.2
161014A	2.9	0.6
161011A	0.9	0.3
161007A	0.4	0.1
161004B	10.1	0.4
161001A	3.5	0.2
160917A	2.2	0.3
160905A	6.3	0.3
160827A	0.7	0.2
160826A	0.4	0.1
160824A	1.3	0.2
160815A	4.7	0.4
160804A	2.9	0.3
160801A	1.2	0.2
160716A	0.8	0.2
160709A	2.7	0.4
160705B	0.5	0.2
160703A	5.8	0.3
160630A	1.2	0.2
160625A	3.0	0.2
160611A	2.0	0.3
160607A	21.8	0.5
160519A	2.4	0.5
160506A	0.4	0.3
160504A	0.7	0.1
160501A	0.5	0.2
160425A	2.8	0.2
160424A	5.1	0.4
160419A	8.9	0.7
160417A	1.0	0.3
160412A	1.6	0.2
160410A	3.5	0.3
160327A	1.8	0.2
160325A	5.2	0.2
160321A	0.5	0.1
160314A	0.9	0.2
160313A	0.4	0.1
160303A	1.0	0.1
160228A	1.2	0.1
160227A	0.6	0.1
160225A	1.0	0.2
160223A	3.1	0.2
160220B	6.6	0.4
160220A	1.0	0.3
160216A	7.3	0.5
160203A	1.3	0.4
160131A	6.4	0.3
160127A	1.4	0.3
160123A	1.3	0.2
160121A	1.2	0.2
160119A	2.9	0.2
160117A	1.4	0.2
160104A	1.0	0.2
151228B	1.0	0.2
151215A	1.6	0.2
151210A	0.8	0.2
151205A	0.6	0.1
151118A	1.2	0.1
151114A	2.9	0.4
151112A	1.9	0.2
151111A	1.0	0.1
151031A	1.7	0.2
151029A	1.8	0.3
151027B	n/a	n/a
151027A	6.8	0.6
151023A	1.1	0.2
151022A	0.8	0.2
151021A	9.7	0.8
151006A	2.6	0.2
151004A	0.4	0.1
151001B	0.5	0.3
151001A	1.3	0.2
150925A	0.6	0.2
150915A	0.5	0.2
150911A	5.2	0.3
150910A	1.1	0.4
150907B	1.0	0.2
150901A	n/a	n/a
150831B	6.1	1.1
150821A	n/a	n/a
150819A	0.3	0.1
150818A	2.4	0.3
150817A	9.6	0.3
150811A	0.5	0.2
150801B	2.5	0.2
150727A	1.0	0.2
150724A	0.9	0.2
150722A	0.4	0.1
150720A	0.3	0.1
150716A	0.8	0.1
150711A	3.8	0.4
150710B	8.3	0.3
150626B	0.6	0.2
150626A	0.4	0.3
150616A	2.9	0.4
150615A	0.6	0.2
150607A	4.9	0.5
150530A	4.1	0.6
150527A	0.3	0.2
150513A	2.9	0.3
150430A	5.0	1.0
150428B	1.4	0.3
150428A	3.0	0.5
150424A	12.0	0.4
150413A	1.6	0.3
150403A	17.6	-.6
150402A	n/a	n/a
150323C	1.1	0.3
150323B	n/a	n/a
150323A	5.4	0.3
150318A	1.1	0.2
150317A	1.2	0.2
150314A	38.5	0.9
150309A	9.0	0.3
150302A	0.4	0.1
150301B	3.0	0.2
150222A	4.7	0.3
150213B	1.1	0.4
150212A	1.9	0.2
150211A	n/a	n/a
150206A	10.1	0.4
150204A	1.85	0.12
150203A	0.9	0.1
150202A	1.0	0.2
150201A	n/a	n/a
150120B	1.2	0.2
150110B	1.4	0.2
150103A	0.5	0.2
141229A	1.2	0.5
141225A	1.3	0.4
141221A	3.1	0.2
141220A	8.9	0.7
141212B	3.9	0.3
141130A	1.2	0.2
141121A	0.9	0.3
141109B	0.4	0.1
141109A	2.5	0.2
141102A	n/a	n/a
141031B	0.3	0.1
141031A	0.5	0.2
141026A	0.4	0.2
141022A	0.9	0.3
141020A	0.7	0.2
141017A	6.7	0.3
141015A	0.5	0.1
141005A	4.2	0.8
141004A	6.1	0.3
140927A	0.9	0.2
140919A	2.0	0.5
140916A	1.3	0.4
140907A	2.5	0.2
140901B	n/a	n/a
140828A	2.2	0.3
140824A	1.2	0.2
140818B	1.1	0.3
140817A	7.2	0.3
140730A	0.5	0.1
140719B	0.7	0.2
140719A	0.2	0.1
140716A	5.2	1.5
140713A	1.9	0.2
140710A	1.9	0.3
140709B	0.9	0.1
140709A	3.1	0.3
140706A	1.8	0.2
140703A	2.8	0.6
140629A	4.2	0.4
140628A	2.8	0.2
140626A	0.7	0.1
140619A	4.6	0.2
140614B	0.5	0.2
140614A	n/a	n/a
140607A	0.9	0.4
140529A	11.5	0.7
140521A	1.9	0.2
140518A	1.0	0.1
140515A	0.9	0.1
140512A	6.8	0.3
140509A	1.6	0.4
140506A	10.9	0.9
140502A	0.9	0.1
140430A	2.5	0.2
140428A	0.6	0.2
140423A	2.1	0.2
140419A	4.9	0.2
140413A	2.3	0.5
140412A	1.1	0.2
140408A	1.2	0.3
140331A	0.31	0.13
140323A	6.2	0.7
140318A	0.5	0.2
140311B	n/a	n/a
140311A	1.3	0.5
140305A	1.0	0.2
140304A	1.7	0.2
140302A	1.7	0.2
140301A	0.7	0.2
140215A	7.9	0.7
140213A	23.5	0.8
140211A	0.7	0.2
140209A	38.1	1.1
140206A	19.4	0.5
140129A	0.9	0.2
140118A	1.9	0.3
140114A	0.9	0.1
140108A	6.1	0.3
140103A	2.1	0.3
140102A	29.8	0.6
131229A	10.7	0.3
131227A	1.1	0.2
131226A	10.4	0.4
131224B	n/a	n/a
131205A	0.6	0.1
131202A	0.7	0.2
131128A	2.7	0.3
131127A	1.3	0.2
131120A	0.5	0.2
131117A	0.7	0.1
131110A	n/a	n/a
131105A	3.5	0.6
131103A	1.5	0.3
131030A	28.1	0.7
131024B	0.1	0.1
131024A	0.3	0.1
131018A	0.5	0.1
131002B	0.6	0.1
131002A	1.3	0.1
131001A	2.57	0.25
130929A	1.7	0.3
130919A	0.5	0.1
130907A	25.6	0.5
130831B	2.4	0.5
130831A	13.6	0.6
130829A	0.6	0.1
130816B	0.9	0.1
130816A	1.5	0.2
130812A	2.8	0.2
130806A	1.3	0.1
130803A	5.1	0.4
130727A	7.0	0.3
130725B	2.2	0.2
130725A	0.6	0.2
130719A	0.6	0.2
130708A	n/a	n/a
130701A	17.1	0.7
130627B	0.8	0.2
130627A	1.8	0.5
130625A	1.2	0.2
130623A	1.4	0.3
130615A	0.7	0.2
130612A	1.7	0.3
130610A	1.7	0.2
130609B	8.5	0.4
130609A	1.8	0.2
130608A	0.6	0.3
130606A	2.6	0.2
130605A	4.1	0.9
130604A	0.8	0.2
130603A	0.8	0.1
130529A	0.5	0.1
130528A	3.0	0.2
130527A	20.1	1.4
130521A	1.9	0.2
130514A	2.8	0.3
130511A	1.3	0.2
130508A	0.7	0.2
130505A	30.0	3.1
130504A	0.9	0.2
130502A	2.9	0.3
130427B	3.0	0.4
130427A	331.0	4.6
130420B	1.4	0.1
130420A	3.4	0.2
130419A	0.3	0.2
130418A	0.6	0.2
130408A	4.9	1.0
130327A	0.9	0.2
130315A	1.0	0.2
130216B	7.4	0.6
130216A	6.5	0.3
130215A	2.5	0.7
130211A	0.7	0.2
130206A	0.3	0.2
130131B	1.0	0.2
130131A	0.7	0.1
130122A	0.4	0.1
130102A	0.4	0.1
121217A	1.8	0.1
121212A	0.7	0.1
121211A	1.0	0.3
121209A	3.4	0.3
121202A	1.2	0.2
121201A	0.8	0.1
121128A	12.9	0.4
121125A	2.9	0.2
121123A	2.6	0.2
121117A	1.1	0.1
121108A	1.6	0.2
121102A	2.3	0.2
121031A	2.4	0.2
121028A	1.9	0.3
121027A	1.3	0.2
121024A	1.3	0.2
121017A	3.3	0.4
121014A	0.3	0.2
121011A	1.2	0.3
121001A	0.5	0.1
120927A	1.6	0.2
120923A	0.6	0.1
120922A	2.0	0.2
120918A	4.5	0.5
120913B	3.2	0.2
120913A	2.3	0.2
120911A	2.7	0.3
120907A	2.9	0.4
120819A	0.8	0.3
120817A	0.8	0.1
120816A	2.1	0.5
120815A	2.2	0.3
120811C	4.1	0.2
120811A	1.0	0.1
120807A	0.9	0.1
120805A	0.37	0.2
120803B	1.5	0.2
120803A	0.4	0.2
120802A	3.0	0.2
120729A	2.9	0.2
120728A	2.4	0.5
120724A	0.6	0.2
120722A	1.0	0.3
120714B	0.4	0.1
120714A	1.5	0.3
120712A	2.4	0.2
120711B	0.4	0.1
120703A	10.5	0.4
120701A	1.6	0.2
120624B	5.5	0.2
120612A	0.5	0.2
120521C	1.9	0.2
120521B	0.9	0.2
120514A	1.9	0.2
120422A	0.6	0.2
120404A	1.2	0.2
120403B	0.9	0.2
120328A	0.7	0.1
120327A	3.9	0.2
120326A	4.6	0.2
120324A	5.9	0.2
120320A	0.5	0.2
120312A	1.3	0.3
120311B	1.5	0.2
120311A	3.2	0.2
120308A	06	0.1
120224A	0.9	0.2
120219A	0.3	0.1
120218A	9.1	1.2
120215A	0.6	0.1
120213A	1.7	0.1
120212A	2.1	0.3
120211A	0.5	0.2
120121A	0.7	0.2
120119A	10.3	0.3
120118B	2.2	0.3
120116A	4.1	0.3
120106A	1.5	0.2
120102A	10.3	0.4
111229A	1.0	0.2
111228A	12.4	0.5
111225A	0.7	0.1
111215A	0.5	0.2
111210A	1.0	0.1
111207A	n/a	n/a
111204A	0.3	0.2
111129A	0.9	0.2
111123A	0.9	0.1
111121A	7.1	0.3
111109A	0.5	0.1
111107A	1.2	0.2
111103B	7.2	0.3
111103A	3.1	0.3
111029A	1.5	0.2
111026A	1.1	0.1
111022B	0.4	0.3
111022A	2.5	0.2
111018A	0.4	0.1
111016A	0.9	0.2
111008A	6.4	0.7
111005A	1.1	0.3
110928A	0.9	0.3
110921A	0.2	0.4
110915A	3.3	0.2
110827A	0.4	0.1
110820A	0.4	0.1
110818A	1.6	0.3
110808A	0.4	0.2
110801A	1.1	0.2
110731A	11.0	0.3
110726A	1.0	0.2
110719A	1.3	0.3
110715A	53.9	1.1
110709B	3.4	0.3
110709A	6.2	0.2
110625A	49.5	2.4
110610A	4.2	0.2
110530A	0.4	0.1
110521A	0.5	0.1
110520A	1.1	0.2
110519A	4.6	0.3
110503A	1.35	0.06
110422A	30.7	1.0
110420A	14.0	0.9
110414A	1.1	0.3
110412A	2.0	0.4
110411A	1.3	0.2
110407A	1.73	0.12
110402A	4.1	0.7
110319B	1.25	0.15
110319A	2.2	0.2
110318B	0.7	0.1
110318A	8.0	0.5
110315A	1.7	0.2
110312A	1.2	0.3
110305A	1.2	0.3
110223B	0.6	0.1
110223A	0.6	0.2
110213A	1.6	0.6
110212A	1.5	0.2
110210A	0.3	0.1
110208A	0.6	0.1
110207A	1.1	0.1
110205A	3.6	0.2
110201A	1.1	0.1
110128A	0.8	0.2
110119A	2.2	0.1
110106B	2.1	0.3
110106A	1.9	0.3
110102A	8.4	0.3
101219B	0.6	0.3
101213A	2.2	0.4
101117B	4.5	0.3
101114A	1.8	0.3
101030A	0.9	0.1
101024A	5.5	0.2
101020A	0.5	0.2
101017A	9.4	0.4
101011A	1.3	0.2
101008A	1.6	0.2
100928A	2.5	0.5
100924A	1.5	0.3
100917A	0.6	0.2
100915A	0.5	0.3
100906A	10.1	0.4
100905A	0.6	0.1
100904A	1.6	0.3
100902A	1.0	0.1
100901A	0.8	0.2
100823A	1.0	0.1
100816A	10.9	0.4
100814A	2.5	0.2
100807A	1.8	0.2
100805A	0.7	0.2
100802A	0.9	0.1
100728B	3.5	0.5
100728A	5.1	0.2
100727A	1.2	0.1
100725B	2.4	0.1
100725A	0.7	0.1
100719A	0.6	0.2
100704A	4.3	0.2
100621A	12.8	0.3
100619A	4.8	0.2
100615A	5.4	0.2
100614A	0.7	0.2
100606A	1.6	0.4
100526B	0.1	0.1
100526A	0.7	0.3
100522A	7.1	0.3
100513A	0.6	0.1
100508A	0.4	0.2
100504A	1.7	0.2
100425A	1.4	0.2
100424A	0.4	0.1
100420A	n/a	n/a
100418A	1.0	0.2
100413A	0.7	0.1
100324A	0.3	0.1
100316C	0.4	0.1
100316B	1.3	0.1
100316A	2.3	0.4
100305A	0.9	0.3
100302A	0.5	0.1
100219A	0.4	0.1
100213B	0.5	0.2
100213A	2.1	0.2
100212A	2.2	0.2
100205A	0.4	0.1
100119A	7.7	1.0
100115A	n/a	n/a
100111A	1.9	0.2
091221	3.0	0.2
091208B	15.2	1.0
091208A	1.8	0.2
091130B	1.1	0.2
091127	46.5	2.7
091112	1.9	0.5
091109A	1.3	0.4
091104	0.4	0.1
091102	1.4	0.2
091029	1.8	0.1
091026	2.2	0.3
091024	2.0	0.3
091020	4.2	0.3
091018	10.3	0.4
090929B	3.3	0.2
090927	2.0	0.2
090926B	3.2	0.3
090916	1.9	0.3
090915	0.8	0.3
090912	1.0	0.1
090904B	5.3	0.9
090904A	1.9	0.2
090831C	0.5	0.1
090814A	0.6	0.2
090813	8.5	0.6
090812	3.6	0.2
090809	1.1	0.2
090807	0.7	0.2
090728	1.0	0.3
090727	0.5	0.1
090726	0.7	0.2
090715B	3.8	0.2
090715A	3.9	0.5
090712	0.9	0.2
090709B	2.1	0.4
090709A	7.8	0.3
090708	1.3	0.3
090628	1.5	0.2
090618	38.9	0.8
090607	0.7	0.1
090531B	1.25	0.1
090531A	1.3	0.2
090530	2.5	0.3
090529	0.4	0.1
090520	n/a	n/a
090519	0.6	0.2
090518	2.4	0.2
090516A	1.6	0.2
090509	1.5	0.3
090429B	1.6	0.2
090429A	0.6	0.1
090424	71.0	2.0
090423	1.7	0.2
090422	1.7	0.2
090419	0.4	0.1
090418B	n/a	n/a
090418A	1.9	0.3
090417B	0.3	0.1
090410	1.9	0.1
090407	0.6	0.1
090404	1.9	0.2
090401B	23.1	0.5
090401A	10.9	0.5
090313	0.8	0.3
090309A	0.9	0.2
090308A	0.1	0.0
090307A	0.2	0.1
090306B	2.5	0.0
090301A	18.7	0.6
090205	0.5	0.1
090201	14.7	1.0
090129	3.7	0.2
090123	1.7	0.3
