#Cleaned Swift GRB table with redshift (from https://swift.gsfc.nasa.gov/archive/grb_table, using Swift_redshift_distribution.py to clean it)
#name 	 redshift
170202A	 3.6450
170113A	 1.9680
161219B	 0.1475
161129A	 0.6450
161117A	 1.5490
161108A	 1.1590
161017A	 2.0127
161014A	 2.8230
160804A	 0.7360
160425A	 0.5550
160410A	 1.7170
160327A	 4.9900
160314A	 0.7260
160227A	 2.3800
160203A	 3.5200
160131A	 0.9720
160121A	 1.9600
151215A	 2.5900
151112A	 4.1000
151111A	 3.5000
151031A	 1.1670
151029A	 1.4230
151027B	 4.0630
151027A	 0.8100
151021A	 2.3300
150915A	 1.9680
150910A	 1.3590
150821A	 0.7550
150818A	 0.2820
150727A	 0.3130
150413A	 3.1390
150403A	 2.0600
150323A	 0.5930
150314A	 1.7580
150301B	 1.5169
150206A	 2.0870
141225A	 0.9150
141221A	 1.4520
141220A	 1.3195
141121A	 1.4700
141109A	 2.9930
141026A	 3.3500
141004A	 0.5730
140907A	 1.2100
140710A	 0.5580
140703A	 3.1400
140629A	 2.2750
140614A	 4.2330
140518A	 4.7070
140515A	 6.3200
140512A	 0.7250
140506A	 0.8890
140430A	 1.6000
140428A	 4.7000
140423A	 3.2600
140419A	 3.9560
140318A	 1.0200
140311A	 4.9540
140304A	 5.2830
140301A	 1.1416
140213A	 1.2076
140206A	 2.7300
140114A	 3.0000
131227A	 5.3000
131117A	 4.0420
131105A	 1.6860
131103A	 0.5990
131030A	 1.2950
130907A	 1.2380
130831A	 0.4791
130701A	 1.1550
130612A	 2.0060
130610A	 2.0920
130606A	 5.9130
130604A	 1.0600
130514A	 3.6000
130511A	 1.3033
130505A	 2.2700
130427B	 2.7800
130427A	 0.3400
130420A	 1.2970
130418A	 1.2180
130408A	 3.7580
130215A	 0.5970
130131B	 2.5390
121211A	 1.0230
121201A	 3.3850
121128A	 2.2000
121027A	 1.7730
121024A	 2.2980
120922A	 3.1000
120907A	 0.9700
120815A	 2.3580
120811C	 2.6710
120805A	 3.1000
120802A	 3.7960
120729A	 0.8000
120724A	 1.4800
120722A	 0.9586
120714B	 0.3984
120712A	 4.1745
120521C	 6.0000
120422A	 0.2830
120404A	 2.8760
120327A	 2.8130
120326A	 1.7980
120119A	 1.7280
120118B	 2.9430
111229A	 1.3805
111228A	 0.7150
111225A	 0.2970
111123A	 3.1516
111107A	 2.8930
111008A	 4.9898
110818A	 3.3600
110808A	 1.3480
110801A	 1.8580
110731A	 2.8300
110715A	 0.8200
110503A	 1.6130
110422A	 1.7700
110213A	 1.4600
110205A	 2.2200
110128A	 2.3390
101225A	 0.8470
101219B	 0.5519
100906A	 1.7270
100902A	 4.5000
100901A	 1.4080
100816A	 0.8034
100814A	 1.4400
100728B	 2.1060
100728A	 1.5670
100704A	 3.6000
100621A	 0.5420
100615A	 1.3980
100513A	 4.7720
100425A	 1.7550
100424A	 2.4650
100418A	 0.6235
100413A	 3.9000
100316B	 1.1800
100302A	 4.8130
100219A	 4.6667
091208B	 1.0633
