# alpha, cdf
-7.05642e-01 3.23625e-03
-6.40853e-01 6.47249e-03
-3.86532e-01 9.70874e-03
-3.79512e-01 1.29450e-02
-2.83157e-01 1.61812e-02
-2.43010e-01 1.94175e-02
-2.37003e-01 2.26537e-02
-2.27648e-01 2.58900e-02
-2.25349e-01 2.91262e-02
-1.91294e-01 3.23625e-02
-1.77204e-01 3.55987e-02
-6.51607e-02 3.88350e-02
-6.32014e-02 4.20712e-02
-5.48549e-02 4.53074e-02
-4.51220e-02 4.85437e-02
-3.76476e-02 5.17799e-02
3.85957e-02 5.50162e-02
5.33932e-02 5.82524e-02
5.82379e-02 6.14887e-02
1.06512e-01 6.47249e-02
1.06770e-01 6.79612e-02
1.25402e-01 7.11974e-02
1.69750e-01 7.44337e-02
1.76253e-01 7.76699e-02
2.03154e-01 8.09061e-02
2.08055e-01 8.41424e-02
2.09035e-01 8.73786e-02
2.22394e-01 9.06149e-02
2.26694e-01 9.38511e-02
2.39405e-01 9.70874e-02
2.41049e-01 1.00324e-01
2.45945e-01 1.03560e-01
2.47601e-01 1.06796e-01
2.51570e-01 1.10032e-01
2.53191e-01 1.13269e-01
2.65718e-01 1.16505e-01
2.68851e-01 1.19741e-01
2.79585e-01 1.22977e-01
2.82594e-01 1.26214e-01
2.88368e-01 1.29450e-01
3.05289e-01 1.32686e-01
3.11100e-01 1.35922e-01
3.15495e-01 1.39159e-01
3.17828e-01 1.42395e-01
3.19481e-01 1.45631e-01
3.21211e-01 1.48867e-01
3.22875e-01 1.52104e-01
3.26474e-01 1.55340e-01
3.28647e-01 1.58576e-01
3.41934e-01 1.61812e-01
3.42098e-01 1.65049e-01
3.48436e-01 1.68285e-01
3.53443e-01 1.71521e-01
3.54681e-01 1.74757e-01
3.56787e-01 1.77994e-01
3.61005e-01 1.81230e-01
3.63081e-01 1.84466e-01
3.64989e-01 1.87702e-01
3.66586e-01 1.90939e-01
3.67070e-01 1.94175e-01
3.78895e-01 1.97411e-01
3.80582e-01 2.00647e-01
3.89676e-01 2.03883e-01
3.94991e-01 2.07120e-01
3.96256e-01 2.10356e-01
4.06271e-01 2.13592e-01
4.07579e-01 2.16828e-01
4.19314e-01 2.20065e-01
4.23136e-01 2.23301e-01
4.26564e-01 2.26537e-01
4.33020e-01 2.29773e-01
4.40026e-01 2.33010e-01
4.40237e-01 2.36246e-01
4.40467e-01 2.39482e-01
4.44374e-01 2.42718e-01
4.51168e-01 2.45955e-01
4.51198e-01 2.49191e-01
4.53579e-01 2.52427e-01
4.53635e-01 2.55663e-01
4.54415e-01 2.58900e-01
4.54705e-01 2.62136e-01
4.58141e-01 2.65372e-01
4.61048e-01 2.68608e-01
4.63553e-01 2.71845e-01
4.64220e-01 2.75081e-01
4.64328e-01 2.78317e-01
4.64379e-01 2.81553e-01
4.70633e-01 2.84790e-01
4.73940e-01 2.88026e-01
4.74416e-01 2.91262e-01
4.78409e-01 2.94498e-01
4.82071e-01 2.97735e-01
4.84010e-01 3.00971e-01
4.89231e-01 3.04207e-01
4.93733e-01 3.07443e-01
4.93935e-01 3.10680e-01
4.94334e-01 3.13916e-01
4.97795e-01 3.17152e-01
4.98981e-01 3.20388e-01
5.02739e-01 3.23625e-01
5.04838e-01 3.26861e-01
5.06032e-01 3.30097e-01
5.09119e-01 3.33333e-01
5.10706e-01 3.36570e-01
5.11130e-01 3.39806e-01
5.12947e-01 3.43042e-01
5.15902e-01 3.46278e-01
5.16401e-01 3.49515e-01
5.22728e-01 3.52751e-01
5.26712e-01 3.55987e-01
5.27393e-01 3.59223e-01
5.28301e-01 3.62460e-01
5.32522e-01 3.65696e-01
5.34073e-01 3.68932e-01
5.40079e-01 3.72168e-01
5.46385e-01 3.75405e-01
5.50186e-01 3.78641e-01
5.53197e-01 3.81877e-01
5.53369e-01 3.85113e-01
5.53398e-01 3.88350e-01
5.55197e-01 3.91586e-01
5.64081e-01 3.94822e-01
5.64966e-01 3.98058e-01
5.66221e-01 4.01294e-01
5.70762e-01 4.04531e-01
5.72193e-01 4.07767e-01
5.77348e-01 4.11003e-01
5.78455e-01 4.14239e-01
5.80390e-01 4.17476e-01
5.81885e-01 4.20712e-01
5.84057e-01 4.23948e-01
5.86753e-01 4.27184e-01
5.87377e-01 4.30421e-01
5.95812e-01 4.33657e-01
5.96024e-01 4.36893e-01
5.96395e-01 4.40129e-01
5.98406e-01 4.43366e-01
6.00279e-01 4.46602e-01
6.00309e-01 4.49838e-01
6.02827e-01 4.53074e-01
6.02841e-01 4.56311e-01
6.06163e-01 4.59547e-01
6.11382e-01 4.62783e-01
6.21347e-01 4.66019e-01
6.25481e-01 4.69256e-01
6.27860e-01 4.72492e-01
6.29010e-01 4.75728e-01
6.31182e-01 4.78964e-01
6.31338e-01 4.82201e-01
6.36760e-01 4.85437e-01
6.37555e-01 4.88673e-01
6.39685e-01 4.91909e-01
6.40296e-01 4.95146e-01
6.42680e-01 4.98382e-01
6.50022e-01 5.01618e-01
6.54818e-01 5.04854e-01
6.55491e-01 5.08091e-01
6.55990e-01 5.11327e-01
6.57236e-01 5.14563e-01
6.59138e-01 5.17799e-01
6.60170e-01 5.21036e-01
6.67765e-01 5.24272e-01
6.67998e-01 5.27508e-01
6.70212e-01 5.30744e-01
6.71610e-01 5.33981e-01
6.74822e-01 5.37217e-01
6.76149e-01 5.40453e-01
6.77946e-01 5.43689e-01
6.78725e-01 5.46926e-01
6.81903e-01 5.50162e-01
6.82496e-01 5.53398e-01
6.86286e-01 5.56634e-01
6.91821e-01 5.59871e-01
6.95402e-01 5.63107e-01
6.96837e-01 5.66343e-01
6.98805e-01 5.69579e-01
6.99342e-01 5.72816e-01
6.99403e-01 5.76052e-01
7.04579e-01 5.79288e-01
7.05592e-01 5.82524e-01
7.07670e-01 5.85761e-01
7.08132e-01 5.88997e-01
7.12695e-01 5.92233e-01
7.14511e-01 5.95469e-01
7.14753e-01 5.98706e-01
7.15955e-01 6.01942e-01
7.16723e-01 6.05178e-01
7.17939e-01 6.08414e-01
7.20951e-01 6.11650e-01
7.21703e-01 6.14887e-01
7.21816e-01 6.18123e-01
7.22569e-01 6.21359e-01
7.23803e-01 6.24595e-01
7.25282e-01 6.27832e-01
7.35050e-01 6.31068e-01
7.35167e-01 6.34304e-01
7.37850e-01 6.37540e-01
7.37995e-01 6.40777e-01
7.39584e-01 6.44013e-01
7.45270e-01 6.47249e-01
7.50019e-01 6.50485e-01
7.51978e-01 6.53722e-01
7.54255e-01 6.56958e-01
7.54308e-01 6.60194e-01
7.65014e-01 6.63430e-01
7.70485e-01 6.66667e-01
7.72440e-01 6.69903e-01
7.79383e-01 6.73139e-01
7.79740e-01 6.76375e-01
7.80467e-01 6.79612e-01
7.80908e-01 6.82848e-01
7.81300e-01 6.86084e-01
7.81670e-01 6.89320e-01
7.82022e-01 6.92557e-01
7.84215e-01 6.95793e-01
7.86362e-01 6.99029e-01
7.86780e-01 7.02265e-01
7.90045e-01 7.05502e-01
7.90447e-01 7.08738e-01
7.92051e-01 7.11974e-01
7.96291e-01 7.15210e-01
7.96451e-01 7.18447e-01
7.99543e-01 7.21683e-01
8.02051e-01 7.24919e-01
8.05169e-01 7.28155e-01
8.11538e-01 7.31392e-01
8.12653e-01 7.34628e-01
8.12977e-01 7.37864e-01
8.14267e-01 7.41100e-01
8.19591e-01 7.44337e-01
8.21224e-01 7.47573e-01
8.21719e-01 7.50809e-01
8.24541e-01 7.54045e-01
8.24954e-01 7.57282e-01
8.25929e-01 7.60518e-01
8.30288e-01 7.63754e-01
8.38180e-01 7.66990e-01
8.38359e-01 7.70227e-01
8.40716e-01 7.73463e-01
8.41180e-01 7.76699e-01
8.42272e-01 7.79935e-01
8.42726e-01 7.83172e-01
8.42821e-01 7.86408e-01
8.43412e-01 7.89644e-01
8.44365e-01 7.92880e-01
8.45995e-01 7.96117e-01
8.46854e-01 7.99353e-01
8.48064e-01 8.02589e-01
8.53051e-01 8.05825e-01
8.55250e-01 8.09061e-01
8.55842e-01 8.12298e-01
8.60675e-01 8.15534e-01
8.62171e-01 8.18770e-01
8.67146e-01 8.22006e-01
8.81007e-01 8.25243e-01
8.83468e-01 8.28479e-01
9.05507e-01 8.31715e-01
9.07776e-01 8.34951e-01
9.11172e-01 8.38188e-01
9.15621e-01 8.41424e-01
9.15942e-01 8.44660e-01
9.24747e-01 8.47896e-01
9.27341e-01 8.51133e-01
9.28527e-01 8.54369e-01
9.31109e-01 8.57605e-01
9.33784e-01 8.60841e-01
9.44823e-01 8.64078e-01
9.45143e-01 8.67314e-01
9.50019e-01 8.70550e-01
9.56813e-01 8.73786e-01
9.57399e-01 8.77023e-01
9.57997e-01 8.80259e-01
9.65221e-01 8.83495e-01
9.72213e-01 8.86731e-01
9.79346e-01 8.89968e-01
9.81355e-01 8.93204e-01
9.85058e-01 8.96440e-01
9.87896e-01 8.99676e-01
9.98336e-01 9.02913e-01
1.00739e+00 9.06149e-01
1.01267e+00 9.09385e-01
1.01730e+00 9.12621e-01
1.02071e+00 9.15858e-01
1.02097e+00 9.19094e-01
1.02185e+00 9.22330e-01
1.02330e+00 9.25566e-01
1.02683e+00 9.28803e-01
1.02725e+00 9.32039e-01
1.03329e+00 9.35275e-01
1.03993e+00 9.38511e-01
1.05168e+00 9.41748e-01
1.05789e+00 9.44984e-01
1.05902e+00 9.48220e-01
1.05935e+00 9.51456e-01
1.09114e+00 9.54693e-01
1.11142e+00 9.57929e-01
1.12997e+00 9.61165e-01
1.14506e+00 9.64401e-01
1.14723e+00 9.67638e-01
1.15304e+00 9.70874e-01
1.15748e+00 9.74110e-01
1.16080e+00 9.77346e-01
1.21540e+00 9.80583e-01
1.23842e+00 9.83819e-01
1.28925e+00 9.87055e-01
1.29827e+00 9.90291e-01
1.37445e+00 9.93528e-01
1.42346e+00 9.96764e-01
1.72638e+00 1.00000e+00
