# P23   HistP23   DR      DRerr
 1.80000E-01 8.70000E+01 2.45000E+00 2.60000E-01
 2.02000E-01 8.70000E+01 2.45000E+00 2.60000E-01
 2.02000E-01 8.30000E+01 2.34000E+00 2.60000E-01
 2.27000E-01 8.30000E+01 2.34000E+00 2.60000E-01
 2.27000E-01 9.90000E+01 2.80000E+00 2.80000E-01
 2.54000E-01 9.90000E+01 2.80000E+00 2.80000E-01
 2.54000E-01 1.11000E+02 3.13000E+00 3.00000E-01
 2.85000E-01 1.11000E+02 3.13000E+00 3.00000E-01
 2.85000E-01 9.20000E+01 2.60000E+00 2.70000E-01
 3.20000E-01 9.20000E+01 2.60000E+00 2.70000E-01
 3.20000E-01 9.60000E+01 2.71000E+00 2.80000E-01
 3.59000E-01 9.60000E+01 2.71000E+00 2.80000E-01
 3.59000E-01 9.50000E+01 2.68000E+00 2.70000E-01
 4.03000E-01 9.50000E+01 2.68000E+00 2.70000E-01
 4.03000E-01 1.14000E+02 3.22000E+00 3.00000E-01
 4.52000E-01 1.14000E+02 3.22000E+00 3.00000E-01
 4.52000E-01 9.30000E+01 2.62000E+00 2.70000E-01
 5.07000E-01 9.30000E+01 2.62000E+00 2.70000E-01
 5.07000E-01 7.90000E+01 2.23000E+00 2.50000E-01
 5.69000E-01 7.90000E+01 2.23000E+00 2.50000E-01
 5.69000E-01 8.20000E+01 2.31000E+00 2.60000E-01
 6.39000E-01 8.20000E+01 2.31000E+00 2.60000E-01
 6.39000E-01 9.10000E+01 2.57000E+00 2.70000E-01
 7.17000E-01 9.10000E+01 2.57000E+00 2.70000E-01
 7.17000E-01 7.30000E+01 2.06000E+00 2.40000E-01
 8.04000E-01 7.30000E+01 2.06000E+00 2.40000E-01
 8.04000E-01 8.30000E+01 2.34000E+00 2.60000E-01
 9.02000E-01 8.30000E+01 2.34000E+00 2.60000E-01
 9.02000E-01 5.20000E+01 1.47000E+00 2.00000E-01
 1.00000E+00 5.20000E+01 1.47000E+00 2.00000E-01
 1.00000E+00 1.17000E+02 3.30000E+00 3.10000E-01
 1.25900E+00 1.17000E+02 3.30000E+00 3.10000E-01
 1.25900E+00 1.11000E+02 3.13000E+00 3.00000E-01
 1.58400E+00 1.11000E+02 3.13000E+00 3.00000E-01
 1.58400E+00 1.04000E+02 2.93000E+00 2.90000E-01
 1.99500E+00 1.04000E+02 2.93000E+00 2.90000E-01
 1.99500E+00 7.20000E+01 2.03000E+00 2.40000E-01
 2.51100E+00 7.20000E+01 2.03000E+00 2.40000E-01
 2.51100E+00 5.90000E+01 1.66000E+00 2.20000E-01
 3.16200E+00 5.90000E+01 1.66000E+00 2.20000E-01
 3.16200E+00 4.80000E+01 1.35000E+00 2.00000E-01
 3.98100E+00 4.80000E+01 1.35000E+00 2.00000E-01
 3.98100E+00 4.00000E+01 1.13000E+00 1.80000E-01
 5.01100E+00 4.00000E+01 1.13000E+00 1.80000E-01
 5.01100E+00 2.70000E+01 7.60000E-01 1.50000E-01
 6.30900E+00 2.70000E+01 7.60000E-01 1.50000E-01
 6.30900E+00 2.60000E+01 7.30000E-01 1.40000E-01
 7.94300E+00 2.60000E+01 7.30000E-01 1.40000E-01
 7.94300E+00 6.40000E+01 1.80000E+00 2.30000E-01
 2.00000E+01 6.40000E+01 1.80000E+00 2.30000E-01
